label,english,german
0,"Every time I think about you, just you also reminds me, your heart will quivering slightly a little.","Jedes Mal, wenn ich an dich denke, erinnerst du mich auch auch, dein Herz wird ein wenig ein wenig zittern."
1,The white one looks like something that belongs in the toy aisle and the black one gets so disgustingly dirty that it's embarrassing to use in public.,"Der Weiße sieht aus wie etwas, das zum Spielzeuggang gehört und der Schwarze wird so ekelhaft schmutzig, dass es peinlich ist, in der Öffentlichkeit zu bedienen."
1,"All the walls were painted a sickly green: the same colour, thought Marie, as mushy peas.","Alle Wände waren krank grün: die gleiche Farbe, dachte Marie, wie matschige Erbsen."
1,Persuading Chris to buy a round of drinks is like getting blood out of a stone.,"Chris zu überzeugen, eine Runde Getränke zu kaufen, ist wie Blut aus einem Stein zu holen."
0,I spit it out and flick it from my eyes.,Ich spuckte es aus und schnippt es aus meinen Augen.
0,"They have fallen literally under the sickle, the ploughshare , and the axe that they once wielded.","Sie sind buchstäblich unter die Sichel, die Ploughshare und die Axt gefallen, die sie einst geführt haben."
0,"In these days of siege, psychiatrists must treat disaffection through militant group action and advocating conscientious, high-quality patient care.","In diesen Tagen der Belagerung müssen Psychiater die Unzufriedenheit durch militante Gruppenaktion behandeln und sich gewissenhafte, hochwertige Patientenversorgung befürworten."
0,"Plump red tomatoes, crisp green salads fresh with the bite of radish, spring onion and a trickle of salad dressing.","Pralle rote Tomaten, knusprige grüne Salate frisch mit dem Rettich, Frühlingszwiebeln und einem Trick aus Salatdressing."
1,"Carbon trading, based on dubious economics, has become a massive scandal, replete with overgenerous emissions allowances, misreporting and fictitious projects.","Der Kohlenstoffhandel, der auf zweifelhaften Ökonomie basiert, ist zu einem massiven Skandal geworden, voll von übergenöser Emissionszulagen, falschen Berichten und fiktiven Projekten."
1,Her voice sounded wooden and lifeless as she struggled to control her feelings.,"Ihre Stimme klang hölzern und leblos, als sie sich bemühte, ihre Gefühle zu kontrollieren."
0,He stared with wonder at the dozen flaky homemade biscuits poised on the bed of fresh crabmeat and fragrant sauce.,"Er starrte mit Wundern auf die dutzend schuppigen hausgemachten Kekse, die auf dem Bett aus frischem Krabbenfleisch und duftender Sauce ausgerichtet waren, wundern."
0,It is a poignant moment: will Ambedkarnagar be destined to the same cycle that Sanjay Gandhi has been through?,"Es ist ein ergreifender Moment: Wird Ambedkarnagar in denselben Zyklus bestimmt, den Sanjay Gandhi durchgemacht hat?"
0,He's got that bit of adolescent fuzz on his upper lip.,Er hat ein Stück jugendlicher Fuzz an der Oberlippe.
1,His rebuff thoroughly deflated me.,Seine Ablehnung entleerte mich gründlich.
0,"She showered, quickly slipped on her black wool frock, a string of pearls.","Sie duschte und schlüpfte schnell auf ihr schwarzes Wollkocker, eine Perlenkette."
0,To make the assumption that JustText was only capable of producing text would be to do it a grave disservice.,"Die Annahme zu machen, dass JustText nur Text produzieren konnte, wäre es, es zu einem schweren Nachteil zu tun."
0,"The long, narrow proportions of the 2,600 sf Patisserie is reinforced by a floating ceiling running the length of the interior, drawing the patron in from Queen Street to the depths of the kitchen.","Die langen, engen Proportionen der 2.600 SF -Patisserie werden durch eine schwimmende Decke verstärkt, die über die Länge des Innenraums läuft und den Patron von der Queen Street in die Tiefen der Küche hineinzieht."
1,Everyone on the packed stage is singing the most complex music at speeds that are almost unreasonable.,Jeder auf der vollen Bühne singt die komplexeste Musik mit fast unvernünftiger Geschwindigkeit.
0,"Open belt, NO baggage, No high - heeled shoes!","Offengürtel, kein Gepäck, keine hohen Schuhe!"
0,The homeward-bound ploughman roars his tractor across the flyover linking two fields bisected by the roar of the motorway beneath.,"Der nach Hause gebundene Pflüger brührt seinen Traktor über die Überführung, die zwei Felder verbindet, die vom Roar der Autobahn darunter halbiert werden."
1,They would take out their vengeance and fury on exam papers.,Sie würden ihre Rache und Wut in Prüfungen übernehmen.
0,I love the crispy crunch bits on the outside and the soft pillowy inside slathered in lots of butter.,Ich liebe die knusprigen Crunch -Teile von außen und das weiche Kissen in viel Butter.
1,They ramped and raged like a pack of trapped beasts.,Sie rampelten und tobten wie eine Packung eingeschlossener Bestien.
0,"China cosmetic industry ought to keep away from the babbittry""price war""and hold the chance and course.",Die China -Kosmetikindustrie sollte sich vom Babbittry -Preiskrieg fernhalten und die Chance und den Kurs halten.
0,We were pelted with rotten tomatoes.,Wir waren mit faulen Tomaten ausgestoßen.
0,Mind you don't tread in that puddle.,"Denken Sie daran, Sie treten nicht in dieser Pfütze."
0,We've branded our cattle.,Wir haben unser Vieh gebrandmarkt.
0,"There was a glow on his face , wrinkled by a life time of suffering, that inspired one with a feeling of unshakable optimism.","Es war ein Leuchten im Gesicht, das von einer Lebenszeit des Leidens gerissen wurde und das einen mit einem Gefühl des unerschütterlichen Optimismus inspirierte."
0,"Look, through the eyes of a physicist, at a bounding kangaroo, a swooping bat, a leaping dolphin, a soaring Coast Redwood.","Schauen Sie durch die Augen eines Physikers an einem beschränkten Känguru, einem Sturzfledermaus, einem springenden Delphin, einem hochfliegenden Redwood an der Küste."
1,Then that silly season when the oil rigs blew like bottles in a crate of excited stout.,"Dann blies diese dumme Jahreszeit, als die Ölbohrinerien wie Flaschen in einer Kiste aus aufgeregtem Stout wehten."
1,The new movie is a killer.,Der neue Film ist ein Killer.
0,The open-plan kitchen brings you both gustatory and visual pleasure.,Die offene Küche mit offener Ebene bringt Ihnen sowohl Gustatory als auch visuelles Vergnügen.
0,"At once Maxwell was up, yawning, stretching his tall, untanned body in the chilly air.","Sofort war Maxwell auf, gähnte und streckte seinen hohen, ungestillten Körper in der kühlen Luft."
0,We grab phrase to about the aged the injured thethe conjoined the deformed and the dying.,"Wir greifen nach dem Alter der Verletzten, die die Verformten und das Sterbende verbunden haben."
1,"He is alike to datura, the dependence blood is a nutrient, has deadly perilous, cruel sanguinary, so, he is too standing single.","Er ist gleichermaßen wie Datura, das Abhängigkeitsblut ist ein Nährstoff, hat tödliche gefährliche, grausame Sanguinary, also ist er zu stehend Single."
0,She only bought that sports car to show off and prove she could afford one.,"Sie kaufte diesen Sportwagen nur, um sich zu zeigen und zu beweisen, dass sie sich eines leisten könnte."
0,"Family enterprises, from family workshop, partnership, joint stock company listed family holdings, family enterprise's shadow.","Familienunternehmen, von Family Workshop, Partnerschaft, Joint Stock Company listete Familienbesitze, Familienunternehmensschatten auf."
0,We can't let these boys become just another statistic.,"Wir können nicht zulassen, dass diese Jungen nur eine andere Statistik werden."
0,What for? If he'd been a real knight he would still be alive!,"Wozu? Wenn er ein echter Ritter gewesen wäre, wäre er immer noch am Leben!"
1,"I cope with my quarry will not be soft-hearted, targeting, Fierce bite, no matter how strong the other side is !","Ich komme mit meinem Steinbruch damit fertig, nicht weichherzig, zielgerichtet, heftiger Biss, egal wie stark die andere Seite ist!"
1,"And no, Bill, I wasn't talking about sex - you've got a one-track mind!","Und nein, Bill, ich habe nicht über Sex gesprochen - du hast einen Einspur!"
1,She's pretty well banking on Jamie or Gary being a perfect match.,"Sie ist ziemlich gut, wenn sie Jamie oder Gary ein perfektes Spiel ist."
1,She worked her fingers to the bone to provide a home and food for seven children.,"Sie arbeitete mit ihren Fingern bis zum Knochen, um sieben Kinder ein Zuhause und Essen zu bieten."
0,She has an earthy sense of humour.,Sie hat einen erdigen Sinn für Humor.
0,It is high-tea; time for another feeding frenzy.,Es ist High-Tea; Zeit für einen weiteren Fütterungsrausch.
0,She just goes to pieces in exams.,Sie geht nur in Prüfungen in Stücke.
0,She bit the thread in two.,Sie biss den Faden in zwei Teile.
1,Her nerves were stretched to breaking point.,Ihre Nerven wurden bis zum Bruchpunkt gestreckt.
0,She just lurches from one bad relationship to another.,Sie taumelt nur von einer schlechten Beziehung zu einer anderen.
1,Being totally alone is my idea of hell on earth.,Ganz allein zu sein ist meine Vorstellung von der Hölle auf Erden.
0,One must learn to weed out incendiary polemics and agitprop from the whirling online maelstrom to become an informed and thoughtful citizen.,"Man muss lernen, Brandpolemik und AgitProp aus dem wirbelnden Online -Strudel auszurotten, um ein informierter und nachdenklicher Bürger zu werden."
0,"Soon enough, just as the saying goes, the honeymoon is over.","Bald genug, genau wie das Sprichwort sagt, ist die Flitterwochen vorbei."
1,I nearly died of shame!,Ich bin fast vor Scham gestorben!
0,She pressed a kiss on my cheek then hared off.,Sie drückte einen Kuss auf meine Wange und hielt mich ab.
0,How many ways are there to make a Full House in poker? Or a Royal Flush?,Wie viele Möglichkeiten gibt es im Poker ein volles Haus? Oder ein königlicher Flush?
1,The child devours fairy tales.,Das Kind verschlingt Märchen.
0,"Jenny Allen, a 38-year-old fundraiser from West Virginia, wore a laminated picture of her great aunt, an elegant lady in a double strand of pearls who fought for civil rights years ago.","Jenny Allen, eine 38-jährige Spendenaktion aus West Virginia, trug ein laminiertes Bild ihrer großen Tante, einer eleganten Dame in einem doppelten Perlen, der vor Jahren für Bürgerrechte kämpfte."
0,Instead he fills them with any of the dozens of different varieties of liquid that line the walls of his lab.,"Stattdessen füllt er sie mit einem der Dutzenden verschiedener Flüssigsorten, die die Wände seines Labors auskleiden."
0,Henry Weston: How can a store throw a temper tantrum?,Henry Weston: Wie kann ein Geschäft einen Wutanfall werfen?
0,"A wish to two happy people for a future of dreams comes true,Congratulations!","Ein Wunsch an zwei glückliche Menschen für eine Zukunft von Träumen wird wahr, herzlichen Glückwunsch!"
0,"Indeed, the inter-connections of this penal trinity of population, capacity and conditions form the heart of the reform quagmire.","In der Tat bilden die Zusammenhänge dieser Strafe von Bevölkerung, Kapazität und Bedingungen das Herzstück des Reform-Sumpfes."
0,Sit back and relax - I'll open a bottle of wine.,Lehnen Sie sich zurück und entspannen Sie sich - ich werde eine Flasche Wein öffnen.
0,Even the attempts to supplant it pay IQ the tribute of accepting its frame of reference.,"Sogar die Versuche, es zu ersetzen, zahlen den IQ den Tribut, seinen Bezugsrahmen zu akzeptieren."
1,Thoughtlessly Thou hast put to death my virtue and my sin alike!,Denklos hast du meine Tugend und meine Sünde gleichermaßen getötet!
1,A smile is nature's best antidote for discouragement.,Ein Lächeln ist das beste Gegenmittel der Natur zur Entmutigung.
1,It's all utterly senseless and pointless; a matter of misplaced curiosity.'.,Es ist alles absolut sinnlos und sinnlos; eine Frage der verlegten Neugier. '.
0,My new hat was squished under his hips.,Mein neuer Hut wurde unter seine Hüften gequetscht.
1,"Unless the philosophers rule as kings or those now called kings, genuinely philosophize, there will be no rest from the ills for the cities, ?! he says, right?","Wenn die Philosophen nicht als Könige herrschen oder die jetzt als Könige genannten Könige genannt werden, wird es wirklich philosophiert, es wird keine Pause von den Illen für die Städte geben,?! Er sagt, richtig?"
0,I can never enter into her jokes.,Ich kann nie in ihre Witze eintreten.
0,Or the fact that the chemistry between them just wouldn't stop?,"Oder die Tatsache, dass die Chemie zwischen ihnen einfach nicht aufhören würde?"
0,That's the fourth serve he's faulted on today.,"Das ist der vierte Aufschlag, auf dem er heute fehlerhaft ist."
0,She didn't want some tarted-up part-time hooker spoiling it with tales about him she couldn't possibly hope to match.,"Sie wollte nicht, dass eine Teilzeit-Hooker es mit Geschichten über ihn verwöhnte, die sie unmöglich hoffen konnte, zusammenzuarbeiten."
0,She was knocking back the champagne at Maria's party.,Sie klopfte den Champagner auf Marias Party zurück.
0,He is punctual to a proverb.,Er ist pünktlich zu einem Sprichwort.
0,She was never interested in fitness before but now she's been bitten by the bug.,"Sie war noch nie an Fitness interessiert, aber jetzt wurde sie vom Käfer gebissen."
1,Beside him the Empress's face was stretched taut with misery.,Neben ihm wurde das Gesicht der Kaiserin mit Elend gespannt.
0,She's merely a child.,Sie ist nur ein Kind.
1,They tumbled backwards together in a happy heap.,Sie fielen zusammen in einem glücklichen Haufen rückwärts.
0,He cites as a perfect example the scene in Basic Instinct where Sharon Stone is brought to the cop station for questioning and winds up flashing everyone a glimpse of her Lesser Antilles.,"Er zitiert als perfektes Beispiel die Szene im Basic Instinct, in der Sharon Stone zur Kopierstation gebracht wird, um zu befragen, und legt allen einen Blick auf ihre kleineren Antillen auf."
0,But what exactly are the skinheads nostalgic for?,Aber wofür sind die Skinheads nostalgisch?
0,It was like showing up at the masquerade ball wearing the same costume two years in a row.,"Es war, als würde man beim Maskeradeball zwei Jahre hintereinander beim gleichen Kostüm tauchen."
1,"Outside, the mob surged around me, retiring and returning like a spring tide.","Draußen stieg der Mob um mich herum, zog sich zurück und kehrte wie eine Frühlingsflut zurück."
0,That first visit to China just whetted her appetite.,Dieser erste Besuch in China hat gerade ihren Appetit geweckt.
0,Bullens Creek had started off tiny and tedious and gone downhill from there.,Bullens Creek hatte winzig und langweilig angefangen und von dort bergab gegangen.
0,I can't help feeling slightly wistful about the perks I'm giving up.,"Ich kann nicht anders, als sich die Vorteile, die ich aufgibt, etwas wehmütig zu fühlen."
0,"His Aunt Deborah was fun, too: her attempts and failures at matrimony were a long-running serial story, presented comically.","Seine Tante Deborah hat auch Spaß gemacht: Ihre Versuche und Misserfolge bei Ehe waren eine langjährige Seriengeschichte, die komisch präsentierte."
0,There is a fine dinstinction between ingenuity and craziness.,Es gibt einen feinen Restaurant zwischen Einfallsreichtum und Verrücktheit.
1,My patience is almost worn away by their endless quarrel.,Meine Geduld wird fast durch ihren endlosen Streit abgenutzt.
0,Shall I sing the descant in the last verse?,Soll ich den Nachisch im letzten Vers singen?
1,It was just another Tuesday at the office as the businesslike Braves discussed their undoing.,"Es war nur ein weiterer Dienstag im Büro, als die grundgativen Braves über ihr Rückgängigmachen diskutierten."
0,She's turned out to be the exact opposite of what everyone expected.,"Sie hat sich als genau das Gegenteil von dem herausgestellt, was jeder erwartet hatte."
0,Mr George has a reputation as a hawk on inflation and his move yesterday will reinforce his credentials.,Herr George hat den Ruf als Falke in der Inflation und sein Wechsel wird gestern seine Referenzen verstärken.
0,He's an interfering old busybody - who I go out with is none of his business!,"Er ist ein einmischender alter Busybody - mit wem ich ausgehe, geht es nichts in seinem Geschäft!"
0,It is easy to dismiss them as the strategic outpourings of a new recruit trying to impress the party machine.,"Es ist leicht, sie als strategische Ausgüsse eines neuen Rekruten zu entlassen, der versucht, die Parteimaschine zu beeindrucken."
0,Stewart was deeply moved to be back in the compelling presence of his big brother after five years.,"Stewart war nach fünf Jahren zutiefst bewegt, wieder in der überzeugenden Anwesenheit seines großen Bruders zu sein."
0,Their goal is to become the one-stop shopping mall of cyberspace.,"Ihr Ziel ist es, das One-Stop-Einkaufszentrum von Cyberspace zu werden."
1,Nothing impure could touch his lasting image of Regine.,Nichts Unrein konnte sein dauerhaftes Bild von Regine berühren.
0,Currently prospect of the joint venture with acephalous is unknown. While non joint ventrue will be Zong Qinghou's first career end result if he eyes another jot.,"Derzeit ist die Aussicht auf das Joint Venture mit Acephalous unbekannt. Non -Joint Ventrrue wird Zong Qinghous erstes Karriere -Endergebnis sein, wenn er einen weiteren Jot ansieht."
0,The kids hid their teacher's bike for a lark.,Die Kinder versteckten das Fahrrad ihres Lehrers für eine Lerche.
0,He is having therapy to conquer his phobia.,"Er hat eine Therapie, um seine Phobie zu erobern."
0,Snuggling together under the covers on a stormy day.,An einem stürmischen Tag zusammen kuscheln.
0,Sophie is a glutton for books.,Sophie ist eine Vielfraß für Bücher.
1,"Every time our inner light tries to glow, our minds react like a sledgehammer, with harsh thoughts that inhibit us from moving forward.","Jedes Mal, wenn unser inneres Licht glüht, reagieren unsere Gedanken wie ein Vorschlaghammer mit harten Gedanken, die uns daran hindern, vorwärts zu kommen."
0,I tell the people I'm working with that they are supposed to remind me of the KISS principle.,"Ich sage den Menschen, mit denen ich arbeite, dass sie mich an das Kussprinzip erinnern sollen."
1,"She looked up and saw him, resplendent in his formal clothes, his face radiant as he leaned over the microphone.","Sie sah auf und sah ihn in seinen formellen Kleidern, sein Gesicht strahlte, als er sich über das Mikrofon lehnte."
1,The swirling wind from my rotors whipped the fatigues of interested watchers to a blur.,Der wirbelnde Wind von meinen Rotoren peitschte die Müdigkeit interessierter Beobachter zu einer Unschärfe.
1,The greatest honor history can bestow is the title of peacemaker.,Die größte Ehrengeschichte kann der Titel des Friedensstifters verleihen.
0,Love is sharing weal and woe.,Liebe teilt Weal und Weh.
0,"He flitted away down the path, his head held high, with an air of somewhat jaded jauntiness .","Er flippte den Weg hinunter, sein Kopf hielt hoch, mit einem Hauch von etwas abgestumpfter Ausrede."
1,Carter turned to her with a sadistic glint in his eye.,Carter wandte sich mit einem sadistischen Schimmer im Auge zu ihr.
0,He couldn't resist a dig at the referee.,Er konnte einer Ausgrabung des Schiedsrichters nicht widerstehen.
0,"Backache is a constant complaint as I stoop over low baths, sinks, baby buggies and shopping trolleys.","Rückenschmerzen sind eine ständige Beschwerde, wenn ich mich über niedrige Bäder, Waschbecken, Baby -Buggys und Einkaufswagen biege."
1,The island is truly a heaven on earth.,Die Insel ist wirklich ein Himmel auf Erden.
0,How can you watch that drivel on TV?,Wie können Sie diesen Trottel im Fernsehen sehen?
1,Just one lone ancestor standing in the spotlight without anyone or anything else the current generation can blame.,"Nur ein einsamer Vorfahr, der im Rampenlicht steht, ohne dass jemand oder irgendetwas anderes die aktuelle Generation beschuldigen kann."
0,"If nocturnal man king knows perfectly well him Hanchaobi to be gotten greatly, cannot compare, he asks so even, that he just be worthy of is a person that lost sensible bumbledom !","Wenn der nächtliche Mann King kennt, dass er Hanchaobi sehr gut werden kann, kann er nicht vergleichen, fragt er so sogar, dass er nur eine Person verdient, die vernünftiger Buschbummel verloren hat!"
1,"Mademoiselle Vaubois , perfect in her style , was ermine of stupidity without a single spot of intelligence.","Mademoiselle Vaubois, perfekt in ihrem Stil, war Hermelin der Dummheit ohne einen einzigen Spot der Intelligenz."
0,"Iraqi terrorist , Khay Rahnajet , didn't pay enough postage on a letter bomb.",Der irakische Terrorist Khay Rahnajet zahlte nicht genug Porto für eine Briefbombe.
0,History is one of his blind spots.,Die Geschichte ist einer seiner blinden Flecken.
0,"And stock options, for decades reserved to the top 400 executives, now have been opened up far wider.","Und Aktienoptionen, die seit Jahrzehnten den Top 400 Führungskräften reserviert sind, wurden jetzt weit breiter geöffnet."
0,The hot tear was often in his magnanimous ruddy - brown eye.,Die heiße Träne war oft in seinem großmütigen rötlichen - braunen Auge.
1,He racked off a miserable story.,Er hat eine miserable Geschichte geschrieben.
0,Whew! That was a lucky escape!,Wütend! Das war eine glückliche Flucht!
1,Your son's a little demon.,Dein Sohn ist ein kleiner Dämon.
0,He was playing a cop in Colors.,Er spielte einen Polizisten in Farben.
0,The only people who drive luxury saloons in East Oxford are drug dealers who do karate with their rottweilers to relax.,"Die einzigen Menschen, die Luxus -Salons in East Oxford fahren, sind Drogendealer, die mit ihren Rottweilers Karate zum Entspannen machen."
0,So why on earth are we stuffed full of so many different versions of genes?,Warum um alles in der Welt sind wir voller so vieler verschiedener Versionen von Genen?
1,"Resistance to control makes Nicky a problem, a deviant, a troublemaker.","Widerstand gegen die Kontrolle macht Nicky zu einem Problem, zu einem abweichenden, zu einem Unruhestifter."
0,The only thing holding me up would be fumbling at the combination lock or renting a towel.,"Das einzige, was mich aufhält, wäre, das Kombinationsschloss zu fummeln oder ein Handtuch zu mieten."
0,His polite manners bespoke the gentleman.,Seine höflichen Manieren mussten den Herrn mussten.
0,"Hail, then, to mischievous tunesmith Todd Rundgren, who served up a splendid evening of time travel.","Hageln Sie also zu schelmischem Tunsmith Todd Rundgren, der einen prächtigen Abend mit Zeitreisen servierte."
0,At last I'm making a few bob .,Endlich mache ich ein paar Bob.
0,The political problem is how to co-opt the movement's energy and motivational anger without succumbing to its incoherence and being tainted by the wacko voices within it.,"Das politische Problem ist, wie die Energie und der Motivations Ärger der Bewegung kooptieren können, ohne seiner Inkohärenz zu erliegen und von den darin enthaltenen Wacko-Stimmen verdorben zu werden."
0,I ain't got my yellow card on me.,Ich habe meine gelbe Karte nicht auf mich.
0,"Aha, you are an antique addict , aren't you?","Aha, du bist ein antiker Süchtiger, nicht wahr?"
0,Dancing black girls writhing under the twinkling neon of a pizzeria.,Tanze schwarze Mädchen unter dem funkelnden Neon einer Pizzeria.
0,The timing of the show is serendipitous.,Das Timing der Show ist zufällig.
0,He finally faced up to his drug problem when his band told him to shape up or ship out.,"Er stand schließlich seinem Drogenproblem zu, als seine Band ihm sagte, er solle sich formen oder ausschicken."
0,I grab a sweet-scented bottle and hurl it at them.,Ich schnappe mir eine süße Flasche und schleudere sie an sie.
0,He has spent a few nights on the cuff at one of the snappiest hotels.,Er hat ein paar Nächte auf der Manschette in einem der schnappigsten Hotels verbracht.
0,So the city attorney wants him to say goodbye to the animals that have become his extended family?,"Der Stadtanwalt möchte also, dass er sich von den Tieren verabschiedet, die seine Großfamilie geworden sind?"
0,The boss dangled a trip to New York in front of her to get her to work for him.,"Der Chef baumelte eine Reise nach New York vor ihr, um sie dazu zu bringen, für ihn zu arbeiten."
1,"He's absolutely everywhere these days, and just about the only place you won't see the 32-year-old Oscar nominee/host's squinty, smirking face is on a milk carton.","Er ist heutzutage absolut überall und fast der einzige Ort, an dem Sie den 32-jährigen Oscar-Kandidaten/Hosts-Squinty, Grinsengesicht auf einem Milchkarton nicht sehen werden."
1,He has an endless supply of corny jokes.,Er hat einen endlosen Vorrat an kitschigen Witzen.
0,"With scores killed, and soldiers continuing to clash with civilians in Latakia and Daraa, what lessons can Washington learn from how it handled Tunis, Cairo, Manama and Tripoli?","Welche Soldaten, die weiterhin mit Zivilisten in Latakia und Daraa zusammenstießen, welche Lektionen kann Washington aus dem Umgang mit Tunis, Kairo, Manama und Tripolis lernen?"
0,It's a good story but I dare say it's apocryphal.,"Es ist eine gute Geschichte, aber ich wage zu sagen, dass es apokryphen ist."
0,The judge clapped her into prison before she had had time to explain.,"Die Richterin klatschte sie ins Gefängnis, bevor sie Zeit hatte zu erklären."
1,"What I do not like city is buckish with blatant, the dip with university professional geography immerses, the consciousness of zoology and environment makes I more love halcyon with green.","Was ich nicht mag City ist bockisch von offensichtlich, das Dip mit der Geographie der Universitätsteuerung, das Bewusstsein für Zoologie und Umwelt lässt mich mehr mit Grün den Halcyon lieben."
0,I had to stoop to the child's height to hear what he was saying.,"Ich musste mich auf die Höhe des Kindes bücken, um zu hören, was er sagte."
0,I had forgotten my fear until I came to cross one of these bridges on Beejay after rediscovering riding in my thirties.,"Ich hatte meine Angst vergessen, bis ich nach dem Wiederentdecken von Reiten in meinen Dreißigern zu einer dieser Brücken auf Beejay kam."
1,"In stunned silence, her eyes huge, disbelieving, she stared at him.","In fassungsvoller Stille, ihre Augen riesig, ungläubig, starrte sie ihn an."
0,Think twice before you do it.,"Überlegen Sie zweimal, bevor Sie es tun."
0,Your recalcitrance obliges firmness on me.,Ihre widersprüchliche Verpflichtung verpflichtet die Festigkeit auf mich.
0,Wells Fargo completed its acquisition of First Interstate yesterday and lost no time wielding the cost-cutting ax.,Wells Fargo hat gestern die Übernahme von First Interstate abgeschlossen und verlor keine Zeit mit der Kostensenkung.
0,"This irreverent version of Lionel Logue turns out to be an Aussie variant of a Frank Capra hero, a little guy who refuses to be awed by big guys, even one with lofty lineage and a throne.","Diese respektlose Version von Lionel Logue ist eine australische Variante eines Frank -Capra -Helden, ein kleiner Typ, der sich weigert, von großen Jungs beeindruckt zu werden, sogar mit einer hohen Linie und einem Thron."
0,Sport is a slender thread on which to hang one's hopes for the future.,"Sport ist ein schlanker Faden, an dem man sich auf die Zukunft hofft."
0,Personality: what you like? what is your hobby? hanker for it.,Persönlichkeit: Was magst du? was ist dein Hobby? Sehns Shring dafür.
0,"It had been something more profound, less explicable, than disillusionment, mid-life restlessness, the fear of a threatened scandal.","Es war etwas Tieftöneres, weniger erklärbarer als Desillusionierung, Unruhe in der Mitte des Lebens, die Angst vor einem bedrohten Skandal."
0,The row went on and on.,Die Reihe ging weiter und weiter.
0,The beggar fell down in a swoon from sheer hunger.,Der Bettler fiel in einer Ohnmacht aus purem Hunger.
1,"She had been literally rejuvenated , resuscitated, brought back from the lip of the grave.","Sie war buchstäblich verjüngt, wiederbelebt und von der Lippe des Grabes zurückgebracht worden."
1,"In savasana, I did not see a corpse, or feel like this was an end, but instead saw eternity and the endlessness of our breath.","In Savasana habe ich keine Leiche gesehen oder das Gefühl, dass dies ein Ende war, sondern die Ewigkeit und die Unendlichkeit unseres Atems sah."
0,I confess to a little bait and switch.,Ich gestehe einen kleinen Köder und Schalter.
