speaker,sentence,imageability,unexpectedness_avg_glove,unexpectedness_min_glove,unexpectedness_avg_word2vec,unexpectedness_min_word2vec,polarity_senti_ws,polarity_text_blob,subjectivity_huggingface,vader_positive,vader_neutral,vader_negative,vader_compound,res_rf
Johannes Schmuckenschlager,"Wir wollen es ja auch gesetzlich schaffen, dass sich die Bürger an der erneuerbaren Energie beteiligen können, und dort, wo sie es nicht am Eigenheim können, in Genossenschaften und dergleichen machen.",1.9161290322580649,0.3853475622578191,-0.000880877273974,0.2766720016587118,-0.044769403554342,0.0,0.0,0.729823887348175,0.137,0.863,0.0,0.5574,0
Johannes Schmuckenschlager,"Man sieht es aber auch im Verhalten, dass in der Gesellschaft die Bereitschaft wächst, sich da und dort klimaneutral zu verhalten, wie etwa mehr öffentliche Verkehrsmittel zu benutzen.",1.938964285714286,0.4612046673609814,-0.1512702640743528,0.282760955969204,-0.139998012245638,0.0,-0.6666666666666666,0.6363247036933899,0.069,0.931,0.0,0.25,0
Johannes Schmuckenschlager,"Die Bereitschaft der Gesellschaft muss aber auch etwas Neues zulassen können, und da sehen wir schon eine gewisse Divergenz.",2.628631578947368,0.4408454253290906,0.1507496571419798,0.282547480333833,-0.0268803619765033,0.0002105263157894,1.0,0.9295803904533386,0.213,0.787,0.0,0.5584,0
Johannes Schmuckenschlager,"Wenn man Bürgerlisten begutachtet, dann kann man erkennen, dass für einen Leitungsausbau keine Bereitschaft besteht, dass für einen neuen Anlagenbau, gerade im Bereich der Windkraft oder auch der Wasserkraft, da und dort sehr starker Widerstand aus den Regionen kommt.",2.0204871794871795,0.4326739690874475,-0.1199859989409729,0.2539851039567034,-0.0473047821694669,0.0002051282051282,0.7,0.7999682426452637,0.136,0.78,0.084,0.5134,0
Johannes Schmuckenschlager,"Das müssen wir ernst nehmen, wir müssen aber auch schauen, da wir ja ein großes Ziel haben, wie wir damit umgehen.",1.6004761904761904,0.4799120903736482,0.1837556758709976,0.2621864771754019,0.0081472071130266,0.0175904761904761,0.7,0.8872906565666199,0.202,0.798,0.0,0.5859,0
Johannes Schmuckenschlager,"Da muss man aber ganz klar sagen: Klimaschutz ist eine Verpflichtung und kann mit einer Unterschrift oder mit einer Beglaubigung nicht entpflichtet sein, sondern muss getragen werden.",2.2588888888888885,0.3873922906315035,-0.1211436659821761,0.3036927446523499,0.0273460841476343,0.0,1.0,0.8639379739761353,0.081,0.919,0.0,0.3182,0
Johannes Schmuckenschlager,"Da müssen wir auch dieses Ja zum Klimaschutz einfordern können, denn Klimaschutz wird nicht nach dem Florianiprinzip funktionieren: Ich bin dafür, wenn es woanders stattfindet.",1.7448,0.3699165559101117,-0.1021991423067704,0.2926508611335696,0.0255227985428598,0.0,0.0,0.8773577809333801,0.091,0.909,0.0,0.34,1
Johannes Schmuckenschlager,"Das werden wir nicht stattfinden lassen können.Ich glaube, die Konzeption der Bundesregierung ist eine sehr, sehr glückliche: Wir haben alle Schlüssel zum Erfolg im Bundesministerium vereint, denn wir haben da nicht nur Umwelt, Klima und Energie, sondern vor allem auch Infrastruktur.",1.9974390243902445,0.4757698742843845,0.0228974093502066,0.2419267027343934,-0.0696589310054546,0.0,0.0,0.8847178220748901,0.27,0.73,0.0,0.9283,0
Johannes Schmuckenschlager,"Hinsichtlich des Leitungsausbaus des Stromnetzes haben wir die Möglichkeiten im Ministerium, daran wird stark gearbeitet, das finde ich sehr, sehr wesentlich.",1.249142857142857,0.3734267979545215,-0.0591064229055375,0.2414406375027607,-0.0244017035077447,0.0001904761904761,0.7,0.8759320974349976,0.221,0.779,0.0,0.6597,0
Johannes Schmuckenschlager,Das gilt auch für den Bereich der Schiene.,3.0845,0.5311324935541124,0.4558224997672948,0.2349452803205075,0.076389871681335,0.0,0.0,0.0408111810684204,0.0,1.0,0.0,0.0,0
Johannes Schmuckenschlager,"Was im Budget jetzt für zusätzliche Maßnahmen für den Ausbau der Schiene in Österreich vorhanden ist, ist gewaltig, und das hat es lange nicht gegeben.Ein kleines Beispiel: In der Vergangenheit wurden unter dem Geschäftsführer der ÖBB  Christian Kern, wer ihn noch kennt  die Verladebahnhöfe der Rail Cargo Austria zurückgebaut.",2.1737058823529414,0.3516064820172871,-0.383286501010958,0.2322682199093637,-0.0650529329300226,-0.0053235294117647,-0.7,0.8585279583930969,0.066,0.9,0.033,0.1769,0
Johannes Schmuckenschlager,"Da müssen wir wieder vorankommen, wir müssen mehr Fracht auf die Schiene bekommen.",2.968153846153846,0.4214245358637841,0.0482457797944813,0.2850623718076054,0.1174341323725103,0.0,0.0,0.8807178139686584,0.184,0.816,0.0,0.4019,0
Johannes Schmuckenschlager,"Auch in der Frage der Straße sehen wir, dass die CO2-Bilanzen wesentlich geringer sind, wenn der Verkehr flüssig ist.",2.324421052631579,0.4264462713655431,-0.0288122721744876,0.2789240524012406,-0.0020853631178784,-0.0348473684210526,-0.7,0.7887136936187744,0.054,0.834,0.112,-0.2944,0
Johannes Schmuckenschlager,"Das heißt, wir dürfen Straßenprojekte nicht prinzipiell als böse betrachten und negativ bescheiden, sondern müssen schauen, dass wir fließenden Verkehr zustande bringen.",1.718,0.3281128183600103,-0.1596012245348168,0.2941113709708237,-0.0096675994300653,-0.0190136363636363,-1.0,0.8910831809043884,0.172,0.715,0.113,0.1471,1
Johannes Schmuckenschlager,"Da möchte ich besonders die S 8 im Marchfeld ansprechen oder auch den Lobautunnel in Wien, der viel CO2 einsparen könnte, wenn wir gescheite Verkehrsleitsysteme entwickeln könnten.",1.8007407407407408,0.3164093011629657,-0.1686437259981105,0.2919329748707674,-0.0997217838052501,0.0127777777777777,0.5,0.889204740524292,0.158,0.842,0.0,0.5106,0
Johannes Schmuckenschlager,"Ich darf schon zum Ende kommen: Ich glaube, es ist ein wesentliches Thema, und darum hat es auch so viele Bürger bewegt.",1.5288636363636363,0.4903852496833452,0.091796564356973,0.270191016657535,-0.0244678314256972,0.0,0.35,0.8838449716567993,0.128,0.778,0.093,0.2263,0
Johannes Schmuckenschlager,In den Sechzigerjahren hat es den großen Ost-West-Konflikt zwischen den USA und Russland gegeben.,2.6042857142857145,0.4521713556907991,-0.059314106531518,0.2986426643435583,0.0827985142085276,0.0263857142857142,0.7,0.064275324344635,0.139,0.861,0.0,0.2732,0
Johannes Schmuckenschlager,"Damals war die Situation so, dass sich Staaten im Kalten Krieg thematisch gegenübergestanden sind, und heute sind es oft unterschiedliche Anschauungen, die sich gegenüberstehen, gar nicht so zwischen Staaten oder Nationen, vielmehr in den Gesellschaftsgruppen.",1.9886857142857144,0.4922592848184781,0.1407087978066526,0.2570657653105256,0.0106744589399486,-0.0003428571428571,0.0,0.5122866034507751,0.0,0.833,0.167,-0.765,0
Johannes Schmuckenschlager,"John F. Kennedy hat 1963 etwas gesagt, das uns, wie ich glaube, auch eine Leitschnur für den Klimaschutz, für die Frage der Umweltpolitik weit über die Grenzen hinaus sein sollte.",2.7285,0.4417022440564361,-0.0057653508787808,0.2290083450007115,-0.031564537136236,0.0,0.0,0.9288875460624696,0.102,0.898,0.0,0.5106,0
Johannes Schmuckenschlager,"Er sagte damals  in Bezug auf den Kalten Krieg zwar, aber ich glaube, das wird man auch auf die Klimapolitik umlegen können : Denn letztlich bildet die Tatsache, dass wir alle Bewohner dieses kleinen Planeten sind, das uns im tiefsten gemeinsame Band.",1.897488372093024,0.3916554224744866,-0.1089632561371481,0.2610434661076808,-0.0997217838052501,-0.0065,0.0,0.8859367966651917,0.104,0.733,0.163,-0.4404,0
Johannes Schmuckenschlager,"Wir alle atmen die gleiche Luft, uns allen liegt die Zukunft unserer Kinder am Herzen und wir sind alle sterblich.",1.9249,0.4153211929977439,-0.0250556826168023,0.2767148455521072,-0.0096675994300653,0.0,0.0,0.8447877168655396,0.0,1.0,0.0,0.0,0
Julia Elisabeth Herr,Herr Präsident!,2.7805,0.0,0.0,0.0,0.0,0.0,0.0,0.8828461170196533,0.0,1.0,0.0,0.0,0
Julia Elisabeth Herr,Sehr geehrte Damen und Herren!,0.6436,0.2313458732183547,0.0337852302020808,0.2993685709533927,0.1489228462492661,0.0,0.0,0.8779545426368713,0.0,1.0,0.0,0.0,0
Julia Elisabeth Herr,"Wer will, daß die Welt so bleibt, wie sie ist, der will nicht, daß sie bleibt.",1.4026875,0.5223908325620644,0.2809134135794031,0.3113012470265517,0.0721036570222552,0.0,0.0,0.9112061858177184,0.0,1.0,0.0,0.0,0
Julia Elisabeth Herr,"Auf unserer Erde wird es immer heißer, die Polarkappen schmelzen, riesige Eisbrocken  und ich meine tatsächlich riesige Eisbrocken, erst im September ist ein Eisbrocken so groß wie Paris vom Festland ins Meer gestürzt  stürzen ins Meer, der Meeresspiegel steigt und ganze Nationalstaaten, Inselstaaten, bereiten sich wortwörtlich auf ihren Untergang vor.Tagtäglich vernichten wir Lebensraum.",2.7265090909090905,0.3004715533353059,-0.3660125665771099,0.2618176071250681,-0.0562946226239728,-0.0072818181818181,-0.4333333333333333,0.8797175288200378,0.199,0.628,0.172,-0.041,0
Julia Elisabeth Herr,"Jedes Jahr wird eine Fläche, die so groß wie Irland ist, zur Wüste.",1.6673846153846157,0.4613456951087656,0.1903791942113348,0.2133342606301232,0.0282906838347412,0.0,0.7,0.2912552952766418,0.186,0.814,0.0,0.4101,0
Julia Elisabeth Herr,Die ersten offiziellen Klimaflüchtlinge haben bereits aufgrund der Vernichtung ihrer Lebensgrundlage Asyl bekommen.,2.497076923076923,0.3887489121909346,0.0246934665660778,0.318134701347167,0.1761995749745417,0.0,0.0,0.0357317924499511,0.0,0.769,0.231,-0.5574,0
Julia Elisabeth Herr,"Viele Hunderttausende werden folgen, wenn der Boden unter den Füßen ganz einfach unbewohnbar wird.Im Meer schwimmt mittlerweile mehr Plastik als Fische, und wir können dabei zuschauen, wie Tierarten, die dort über Jahrtausende gelebt haben, gerade aussterben.",2.2921666666666667,0.3752688119239133,-0.0308165056572035,0.3060115185272716,-0.0268803619765033,0.0,-0.2333333333333333,0.7651224732398987,0.058,0.859,0.083,-0.25,0
Julia Elisabeth Herr,Unsere Ökosysteme geraten immer mehr ins Ungleichgewicht.,1.7290000000000003,0.3528537754076979,0.0685494219189074,0.3271364278007548,0.1517975936361136,0.0,0.5,0.916667342185974,0.0,1.0,0.0,0.0,0
Julia Elisabeth Herr,"Wer will, dass die Welt so bleibt, wie sie jetzt ist, der will nicht, dass sie bleibt.",1.5685882352941178,0.5796556069786393,0.3959512114590417,0.3202834091294581,0.0721036570222552,0.0,0.0,0.9106656908988952,0.0,1.0,0.0,0.0,0
Julia Elisabeth Herr,Wir spüren die Auswirkungen der Klimakrise schon jetzt!,2.57975,0.2925771608278972,-0.1593342738536262,0.3219661034111006,-0.0268803619765033,0.0,0.0,0.9186072945594788,0.0,1.0,0.0,0.0,0
Julia Elisabeth Herr,"Das schreiben die Betreiber des Klimavolksbegehrens auf der Homepage vollkommen zu Recht, all das passiert jetzt.",2.9570625,0.3518022426040735,-0.0101259671140846,0.2171146989475006,0.0074602571992942,0.0,1.0,0.924256443977356,0.263,0.737,0.0,0.6124,0
Julia Elisabeth Herr,"Das trifft nicht zukünftige Generationen irgendwann einmal, wir werden in 30 Jahren sagen können: Ja, hier war einmal ein Gletscher.",1.87165,0.4127458467251659,0.1881994794438597,0.2429925752745524,0.0025712143527235,0.0,0.0,0.8900107145309448,0.0,1.0,0.0,0.0,0
Julia Elisabeth Herr,"Die Welt rund um uns herum, Österreich rund um uns herum verändern sich.",2.5994615384615383,0.4264917209226413,0.1497604096999839,0.3219436098417644,0.0958712050829343,0.0,0.0,0.7391851544380188,0.0,1.0,0.0,0.0,0
Julia Elisabeth Herr,"Wir erleben extreme Wetterereignisse, viel mehr Hochwasser, mehr Murenabgänge.",1.665333333333333,0.4532947585866946,0.2226611544596934,0.4363016360626691,0.3207007320618842,0.0,0.0,0.7227388620376587,0.0,1.0,0.0,0.0,0
Julia Elisabeth Herr,"Wir erleben immer mehr Schädlinge im Wald, gegen die wir kämpfen müssen.",2.3208333333333333,0.3981748911931442,0.067522984070127,0.2730123345430028,0.028406238287666,-0.0447666666666666,0.0,0.6149262189865112,0.0,0.821,0.179,-0.34,0
Julia Elisabeth Herr,"Wir erleben immer mehr Ernteausfälle, wir erleben generell weniger Ertrag auf unseren Feldern  denken wir zum Beispiel an die Zuckerrüben, über die wir hier erst vor Kurzem gesprochen haben: Es werden gerade Werksschließungen genau aufgrund dieser Zustände diskutiert!",2.170769230769231,0.4180592591147994,0.0708723585891751,0.3084467365599891,-0.044769403554342,-0.0001230769230769,0.0,0.6975849866867065,0.13,0.832,0.038,0.5983,0
Julia Elisabeth Herr,"Dabei geht es auch um Arbeitsplätze, es geht um Versorgungssicherheit, um all das geht es jetzt, und wir zahlen auch jetzt bereits dafür: 1 Milliarde Euro jährlich kosten uns die durch die Klimakrise verursachten Schäden.",2.498342857142857,0.4324140635881608,-0.2040631849020721,0.2939080206981755,-0.0142629403170362,0.0,0.0,0.7728606462478638,0.0,0.935,0.065,-0.3182,0
Julia Elisabeth Herr,"Und jetzt zur Frage, wer das eigentlich zahlt, und dies vor allem im Vergleich dazu, wer diese Schäden, die wir tagtäglich erleben, verursacht: Wir wissen, dass Reiche, dass Vermögende die Klimakrise anheizen.",1.58675,0.3924710935795631,-0.2118607476871326,0.2785083939320101,-0.0120526580294676,0.0,0.7,0.9208822250366212,0.165,0.773,0.061,0.5994,0
Julia Elisabeth Herr,"Laut der neuen Oxfam-Studie aus diesem September wissen wir, dass die reichsten 10 Prozent der Weltbevölkerung für mehr als die Hälfte des gesamten CO2-Ausstoßes verantwortlich sind!",2.3398461538461537,0.4292264041497242,-0.0042999712468862,0.2555936650077776,0.000578674446165,0.00495,0.0,0.5444834232330322,0.327,0.673,0.0,0.8655,0
Julia Elisabeth Herr,"Wir wissen  das ist nicht vorstellbar , dass ein paar, eine Handvoll Konzerne mehr CO2 ausstoßen als ganze Kontinente!",1.677,0.3402495772646009,-0.0362731481337181,0.2840799705474832,0.0257138862362171,0.0,-0.35,0.9314013123512268,0.166,0.834,0.0,0.5255,0
Julia Elisabeth Herr,"Wir wissen, dass unsere Umwelt und vor allem unsere Ressourcen tagtäglich ausgebeutet werden, weil irgendjemand damit Geld verdient.",1.3631111111111112,0.3250490175565234,-0.0274040902739077,0.3459963425441866,-0.0096675994300653,-0.0178611111111111,1.0,0.9164252877235411,0.235,0.63,0.134,0.34,0
Julia Elisabeth Herr,"Irgendjemand, eine kleine Gruppe von Menschen, verdient da eben, macht Profite, aber die Schäden zahlen wir alle.",2.4237647058823524,0.3927183919335015,0.1175802182243084,0.2272984622453126,0.0040349327902795,-0.0413235294117647,0.0,0.8710537552833557,0.326,0.515,0.159,0.5994,0
Julia Elisabeth Herr,"Das erleben wir in der Klimapolitik seit Jahrzehnten, und das ist eine himmelschreiende Ungerechtigkeit, die wir endlich ändern müssen.",2.295684210526316,0.3988894493777749,-0.019922522510007,0.2535388768436067,-0.0268803619765033,0.0,0.0,0.9419750571250916,0.0,0.882,0.118,-0.34,0
Julia Elisabeth Herr,Die Klimakrise ist die soziale Frage unserer Zeit.,2.4935,0.3231861810583165,-0.2097247864058835,0.3475406338456331,0.0565616290317756,0.0,0.7,0.8813779354095459,0.0,1.0,0.0,0.0,1
Julia Elisabeth Herr,Auch in Österreich zahlen Geringverdiener und Geringverdienerinnen mehr für Klimaschäden als Besserverdienende.,2.7158333333333338,0.269277456331521,-0.2460610358151347,0.2734067480375269,0.0191860374921313,0.0,0.0,0.3426811695098877,0.0,1.0,0.0,0.0,0
Julia Elisabeth Herr,"Es wird sich im Übrigen auch mit diesem Budget, das vorgelegt wurde, in keinster Art und Weise ändern, wer da am meisten zur Kasse gebeten wird.",2.1088846153846155,0.3845833165168892,-0.2068530674622379,0.2441245523763978,-0.0726558541798871,0.0,1.0,0.898542046546936,0.12,0.88,0.0,0.5267,0
Julia Elisabeth Herr,Auch das Klimavolksbegehren greift das auf.,2.142,0.5362050318171935,0.3296983711882311,0.3988492920756941,0.2427868519182896,0.0,0.0,0.0378726124763488,0.0,1.0,0.0,0.0,0
Julia Elisabeth Herr,"Dessen InitiatorInnen sagen, es braucht einen sozial gerechten Klimaschutz.",1.2483333333333333,0.2222863695488596,-0.1070518551511466,0.3281620935096161,0.1702911109996085,0.0004444444444444,1.0,0.0270374417304992,0.273,0.727,0.0,0.4588,0
Julia Elisabeth Herr,"Ich denke, genau das ist es: Wir brauchen soziale Gerechtigkeit und wir brauchen Klimagerechtigkeit  am Ende des Tages ist beides dann dasselbe.",1.809652173913044,0.3960513689963323,0.1420549197609899,0.2794695599815084,-0.0244678314256972,0.0,0.7,0.8758768439292908,0.195,0.714,0.09,0.4215,0
Julia Elisabeth Herr,"Dahin gehend bedanke ich mich bei den Initiatoren und Initiatorinnen des Klimavolksbegehrens und den fast 400 000 Menschen, die es unterschrieben haben.",1.3955,0.2605476958809717,-0.2740675851045627,0.299370425324971,-0.0869701460657995,0.0,0.0,0.8364015221595764,0.0,1.0,0.0,0.0,0
Julia Elisabeth Herr,Wir haben als Mitglieder des Umweltausschusses zahlreiche E-Mails erhalten.,1.51,0.43247397091681,0.2935832267550419,0.1854831933049684,0.0168496201178935,0.0,0.7,0.0259207487106323,0.175,0.825,0.0,0.1779,0
Julia Elisabeth Herr,"Ich habe sie mir gestern, bevor ich diese Rede geschrieben habe, alle noch einmal durchgelesen.",1.7213333333333334,0.5083541122676843,0.2923470669327129,0.3324536900517572,0.1115732904737032,0.0,0.0,0.0284470319747924,0.0,1.0,0.0,0.0,0
Julia Elisabeth Herr,"Niemand fordert, wir sollen irgendeinen kleinen Budgettopf um ein bisschen Geld erhöhen, niemand fordert, wir sollen an einem kleinen Rad drehen.",1.5510476190476188,0.3652931160885354,0.1054483403946231,0.3093788034940866,-0.044769403554342,-0.0258571428571428,0.7,0.8991788029670715,0.054,0.819,0.127,-0.1585,0
Julia Elisabeth Herr,"Alle Mails, die ich erhalten habe, fordern, dass wir in Anbetracht der Krise, die uns bevorsteht, endlich handeln, dass wir hier in diesem Haus so handeln, dass wir diese Klimakrise  all das, was ich vorhin aufgezählt habe  endlich ernst nehmen.",1.7940238095238097,0.402446813991482,-0.2422388455641698,0.3226080579071812,-0.0997217838052501,0.0,0.0,0.8917609453201294,0.039,0.882,0.079,-0.4019,0
Julia Elisabeth Herr,"Wer will, dass die Welt so bleibt, wie sie jetzt ist, der will ganz einfach nicht, dass sie bleibt!",1.8813157894736845,0.5654360001237315,0.3700072613128568,0.3287164307014139,0.0721036570222552,0.0,0.7,0.91415536403656,0.126,0.874,0.0,0.3802,0
Julia Elisabeth Herr,Das sollten wir in diesem Haus auch endlich dementsprechend wertschätzen.Ganz am Schluss jetzt komme ich zur Umsetzung.,2.400470588235294,0.4223869532462787,0.1961722868129011,0.2633247110297,-0.0997217838052501,0.0,0.0,0.9098844528198242,0.0,1.0,0.0,0.0,0
Julia Elisabeth Herr,Danke an alle fast 400 000 Menschen!,1.8031428571428567,0.3200678385296934,0.0651645037089674,0.2582157247292792,0.1499963077000538,0.0272857142857142,0.0,0.4662889838218689,0.347,0.653,0.0,0.4926,0
Julia Elisabeth Herr,"Jetzt müssen wir versuchen, all diese Punkte umzusetzen.",1.598375,0.4132811467967692,0.2436768859021725,0.2542856696254875,0.1129683797673489,0.0,0.0,0.8700788617134094,0.0,1.0,0.0,0.0,0
Julia Elisabeth Herr,"Manches davon wird viel Diskussion brauchen, wird auch tiefergehende Lösungen brauchen, anderes könnten wir sofort umsetzen, könnten wir morgen hier beschließen.Ich verspreche, dass wir als SPÖ  gemeinsam mit den InitiatorInnen des Klimavolksbegehrens, die sicher weiterhin Druck machen werden  uns hier in der Verantwortung sehen, die Forderungen nun auch in Anträge zu gießen.",1.877907407407408,0.3754721452102255,-0.2319363828153897,0.2861657567042832,-0.0268803619765033,7.407407407407407e-05,0.35,0.8870912194252014,0.165,0.835,0.0,0.8176,0
Julia Elisabeth Herr,"Wir sind bereits dabei, die wichtigen Forderungen zu verschriftlichen, und wir können versprechen, dass uns das Thema wichtig ist, dass wir das Volksbegehren ernst nehmen werden und dass wir hier hoffentlich noch sehr lange darüber diskutieren werden.",1.961081081081081,0.4356046940038247,-0.0163338401415228,0.297429062738504,-0.0541363949317983,0.0103297297297297,0.7999999999999999,0.8743690252304077,0.196,0.804,0.0,0.8074,0
Julia Elisabeth Herr,Danke schön.,2.3135,0.0,0.0,0.0,0.0,0.0955,1.0,0.9243486523628236,1.0,0.0,0.0,0.7351,1
MMMag. Dr. Axel Kassegger,Sehr geehrter Herr Präsident!,2.19475,0.2989378447659866,0.2288433637394359,0.2959869691426487,0.1226813489439044,0.0,0.0,0.783635139465332,0.0,1.0,0.0,0.0,0
MMMag. Dr. Axel Kassegger,Sehr geehrte Frau Bundesministerin!,2.6865,0.2909849065946272,0.1761893730738522,0.3321248421276472,0.162627555189549,0.0,0.0,0.7838000059127808,0.0,1.0,0.0,0.0,0
MMMag. Dr. Axel Kassegger,"Ursprünglich wollte ich nicht zu diesem Tagesordnungspunkt reden, aber Herr Kollege Kühberger hat mich jetzt motiviert, mich zu Wort zu melden, weil das ja durchaus, zugegebenermaßen, eine sehr witzige und launige politische Rede war.",1.6152941176470588,0.3509548762031479,-0.1789070944411929,0.2871733636518099,-0.0282077174098961,0.0131264705882352,0.0,0.9186330437660216,0.162,0.838,0.0,0.7346,0
