id,text,,speaker,imageability,unexpectedness_avg_glove,unexpectedness_min_glove,unexpectedness_avg_word2vec,unexpectedness_min_word2vec,polarity_senti_ws,polarity_text_blob,subjectivity_huggingface,vader_positive,vader_neutral,vader_negative,vader_compound,res_approach_1,old_label,label,Comments
11031,"Wir haben natürlich auch bewusst dieses Zeitfenster ausgenutzt, weil uns schon klar war, dass es sich für die Grünen vermutlich nicht ausgehen wird, zu plakatieren: Wer macht Equality, wenn nicht wir, und gleichzeitig bei diesem Thema auf der Bremse zu stehen.Das heißt, dieses Thema ist ein gutes Beispiel dafür, dass die Grünen eben sehr wohl den Druck aus der Opposition, aus der Zivilgesellschaft brauchen, damit auch wirklich etwas weitergeht.Gerade in Zeiten von Corona ist ein Ende dieses Blutspenderverbots auch essenziell, weil wir auf jede Blutspende, vor allem auch auf die Blutplasmaspenden, angewiesen sind und wir deswegen nicht auf generell abstrakte Merkmale abstellen sollten, sondern auf das individuelle Risikoverhalten.",238,Yannick Shetty,2.0473611111111105,0.4431423517895057,-0.0901559306127931,0.2689091697154126,-0.0586807014843056,0.0034777777777777,0.9,0.9023160934448242,0.093,0.874,0.033,0.7964,1,hyperbolic,hyperbolic,
11032,Liebe Zuseher!,245,Robert Laimer,2.221,0.0,0.0,0.0,0.0,0.05655,1.0,0.9193633794784546,0.833,0.167,0.0,0.7177,1,non hyperbolic,non hyperbolic,
11033,Leider gibt es in der Moral wie in der Religion viele Heuchler.,246,Robert Laimer,2.5701666666666667,0.4734502075842379,0.1731810456863656,0.3016182154801953,0.0783547341466037,0.0,0.0,0.9393090009689332,0.121,0.517,0.362,-0.6369,1,,non hyperbolic,
11034,"Doch während der eine, namentlich Alexei Nawalny, nach einem Giftanschlag, dessen Urheberschaft bis dato nicht eindeutig nachgewiesen werden konnte, wie ein hochkarätiger Staatsgast hofiert wird, wird der andere, namentlich Julian Assange, wie der Teufel höchstpersönlich behandelt.Skandalöse Haftbedingungen, eine äußerst zweifelhafte Anklage, ein konstruierter Prozess und die Aussicht auf Auslieferung an die Vereinigten Staaten inklusive Todesstrafe haben aus einem investigativen Journalisten und mutigen Aufdecker einen gebrochenen Mann gemacht.",253,Robert Laimer,2.315358208955223,0.2761822220661413,-0.3086475645250253,0.2806045522521904,-0.0482909765634407,2.985074626865757e-05,1.0,0.9350839257240297,0.082,0.797,0.12,-0.4536,1,non hyperbolic,non hyperbolic,
11035,"Augenscheinlich stößt sich niemand in Europa daran, dass seine politischen Inhalte teilweise dumpfer nationalistischer Propaganda entsprechen  Hauptsache, er bedient das Feindbild Putin, denn dann ist ihm der Beifall gewiss.Anders ist es bei Assange: Er hat seinen Fokus auf die Machenschaften von Banken, von korrupten Politikerclans, von Scientology, von Geheimdiensten und dem US-Militär gelegt  allesamt schwergewichtige Gegner.",257,Robert Laimer,2.0209999999999995,0.3407248890280591,-0.1123291009661748,0.287579521478748,0.0125007861564867,-0.0141,-0.7,0.935848593711853,0.054,0.783,0.163,-0.7269,1,non hyperbolic,non hyperbolic,
11036,"Er hat sich die USA zum Feind gemacht, und das war sein großer Fehler.Es ist höchst an der Zeit, dass wir die Stimme erheben, Anstand zeigen und dieser Doppelmoral ein Ende bereiten.",259,Robert Laimer,2.0903750000000003,0.4169813732470609,-0.0292812164079261,0.2664218056822621,-0.044769403554342,0.01154375,0.7,0.928654670715332,0.163,0.687,0.15,-0.128,1,,non hyperbolic,
11037,"Nicht einmal Stellung zu beziehen, wie es der Innenminister gehandhabt hat, ist ohnehin zynisch und despektierlich.",266,Robert Laimer,1.7200625,0.3513954170108709,-0.0556326382156952,0.2978801189767992,0.0574260659402836,0.0,-1.0,0.9415833950042723,0.0,1.0,0.0,0.0,1,,non hyperbolic,
11038,"Das wäre unsinnig, unverantwortlich und für mich als Arzt auch völlig inakzeptabel.",293,"Dr. Werner Saxinger, MSc",2.4239166666666665,0.3969999262638023,0.1724300855481057,0.1952907853829961,0.0165699964305054,0.0,-1.0,0.9332416653633118,0.0,0.676,0.324,-0.5859,1,non hyperbolic,non hyperbolic,
11039,"Wenn jetzt manche sagen: Wer raucht, schädigt eh nur sich selbst!, dann sei denen gesagt: Die Freiheit des Einzelnen endet dort, wo er anderen Schaden zufügt.",309,"Dr. Werner Saxinger, MSc",1.3105,0.3993690554382438,-0.0263129154528525,0.2691536861967901,0.000783245136292,-0.0126307692307692,-1.0,0.9209923148155212,0.185,0.659,0.156,0.2481,1,non hyperbolic,non hyperbolic,
11040,Danke schön.,324,"Dr. Werner Saxinger, MSc",2.3135,0.0,0.0,0.0,0.0,0.0955,1.0,0.9243486523628236,1.0,0.0,0.0,0.7351,1,,non hyperbolic,
11041,"Lieber Kollege Zanger, ich berichtige tatsächlich: Ich möchte ein Rauchverbot auf Spielplätzen.",326,Mag. Karin Greiner,1.7266666666666666,0.3089579963303459,-0.0907931393662741,0.3079640556115802,0.0689980426452749,0.0381749999999999,1.0,0.9370044469833374,0.363,0.637,0.0,0.6908,1,,non hyperbolic,
11042,Das ist ja traurig.,332,Wolfgang Zanger,1.91975,0.3870744376271617,0.2722447229554519,0.2098268190822795,0.1362239365516151,0.0,-1.0,0.933641254901886,0.0,0.484,0.516,-0.4939,1,,non hyperbolic,
11043,"Den Menschen habt ihr die Zuversicht genommen, die sind alle depressiv , und schuld daran sind unter anderem diese Masken, eure Verordnungen, bei denen sich keiner auskennt.",341,Wolfgang Zanger,1.2299629629629631,0.394816611402232,-0.00640773121473,0.2859195152555783,0.0426165732375431,0.0,-1.0,0.9333910942077636,0.076,0.726,0.199,-0.5994,1,hyperbolic,hyperbolic,
11044,Die Menschen laufen alle nur mehr apathisch herum.,342,Wolfgang Zanger,2.6943750000000004,0.4040481994042392,-0.0789644354721497,0.3567062387872745,0.1596145518440632,0.0,-1.0,0.922884166240692,0.0,0.745,0.255,-0.34,1,hyperbolic,hyperbolic,
11045,Statt Mut impft ihr den Leuten Angst ein.,345,Wolfgang Zanger,1.6635,0.2212695203919111,-0.2159108862656263,0.3045280855940019,0.1298002210578771,0.0,0.0,0.9330363869667052,0.273,0.469,0.258,0.0516,1,hyperbolic,hyperbolic,
11046,"Statt Hoffnung zu schaffen, impft ihr den Leuten Angst ein.",347,Wolfgang Zanger,1.2211,0.255409401360969,-0.2521834037628752,0.2683728173283973,0.0791887722064689,0.0,0.0,0.9396645426750184,0.36,0.435,0.205,0.3612,1,,hyperbolic,
11047,Das ist das Traurige an der ganzen Situation.,348,Wolfgang Zanger,2.59575,0.4235007464020723,0.0859501859911948,0.275326418742926,0.1291965336425986,-0.015825,0.0,0.9371099472045898,0.0,0.686,0.314,-0.4939,1,non hyperbolic,non hyperbolic,
11048,"Und das Schlimmste kommt noch: Bei den Kleinsten fängt es schon an, bei den Kindern in den Kindergärten, in den Volksschulen: Sie müssen Masken tragen und schlucken ihre eigenen Bazillen, statt dass sie frische Luft frei atmen dürfen.",349,Wolfgang Zanger,2.0746052631578946,0.373077877292446,-0.030103719017572,0.2778598506891134,0.035374032027357,-0.0116315789473684,0.7,0.8971253037452698,0.074,0.835,0.091,0.0772,1,hyperbolic,hyperbolic,
11049,So etwas Grausliches habe ich mein Lebtag noch nicht gehört!,353,Wolfgang Zanger,2.0506,0.439312544490665,-0.0421313337964708,0.3831721782330972,0.2021126497666374,0.0,0.0,0.9419466853141784,0.0,1.0,0.0,0.0,1,,non hyperbolic,
11050,"Wer heute einmal keine Maske trägt  dafür kann er eine medizinische Begründung haben oder nicht , ist sowieso schon böse.",360,Wolfgang Zanger,2.2997619047619047,0.4468479896398853,0.0578974760568058,0.2713573433048953,0.0719480932911834,0.0,-1.0,0.9330508708953856,0.0,0.841,0.159,-0.5267,1,hyperbolic,hyperbolic,
11051,"Meine erste Zigarette war  ich will jetzt keine Werbung für eine bestimmte Marke machen  von einer sehr starken Marke, und ich war sozusagen der Coole, weil ich der Einzige war, der bei seiner ersten Zigarette nicht hat husten müssen  weil ich es gewöhnt war, weil ich aus meiner Kindheit gekannt habe, wie das mit dem Rauch so ist.Ich habe dann 24 Jahre lang geraucht.",372,Ralph Schallmeiner,2.204671641791044,0.399203418153077,-0.054030583017673,0.2640867708190911,-0.0741339529000548,5.970149253731344e-05,-0.7,0.8826977014541626,0.093,0.907,0.0,0.7501,1,,non hyperbolic,
11052,Danke schön.,384,Ralph Schallmeiner,2.3135,0.0,0.0,0.0,0.0,0.0955,1.0,0.9243486523628236,1.0,0.0,0.0,0.7351,1,,non hyperbolic,
11053,"So aber hat er Gaby eine Karrieremöglichkeit eröffnet.Zur FPÖ, die ja immer behauptet, das Rauchverbot mache die Gastronomie kaputt: Ich glaube, wenn man heute einen Gastwirt fragt, was seine Probleme sind, ist es nicht das Rauchverbot, sondern es sind Sperrstunden um 22 Uhr, ausgesprochen durch irgendwelche wildgewordenen ÖVP-Landeshauptleute, die glauben, dass die Leute nach Hause ins Wohnzimmer gehören, und es sind Sperrstunden um 17 Uhr, ausgesprochen durch Landeshauptleute, die in ihrer Hilflosigkeit gar nicht mehr zu übertreffen sind.Wenn man also die Gastronomie kaputtmachen will, macht man das, was jetzt Haslauer, Platter und Wallner aufführen.",392,Mag. Gerald Loacker,2.007819148936171,0.3547156654247145,-0.3164128316907389,0.3097286404545345,-0.0997217838052501,-0.0041117021276595,0.0,0.9269592761993408,0.085,0.825,0.09,0.129,1,,hyperbolic,
11054,"Also das, was die Gastronomie kaputtmacht, ist sicher nicht das Rauchverbot, das, was die Gastronomie kaputtmacht, sind die überzogenen Maßnahmen, die von den Landesregierungen und der Bundesregierung in diesen Tagen gesetzt werden.",395,Mag. Gerald Loacker,2.05646875,0.4349382980095431,-0.0141279435196188,0.2777139145435279,0.0290108006646394,0.0,0.7,0.9136930108070374,0.075,0.925,0.0,0.3612,1,,non hyperbolic,
11055,"Darum stört und kränkt es mich auch so, dass die Haltung unserer Bundesregierung in dieser Frage so kontraproduktiv ist.",421,Ing. Reinhold Einwallner,1.667684210526316,0.3385823439679944,-0.1880020426477501,0.2979953373653445,-0.0459540858388751,-0.017778947368421,0.0,0.9390103816986084,0.0,0.678,0.322,-0.7644,1,non hyperbolic,non hyperbolic,
11056,Danke schön.,436,Ing. Reinhold Einwallner,2.3135,0.0,0.0,0.0,0.0,0.0955,1.0,0.9243486523628236,1.0,0.0,0.0,0.7351,1,,non hyperbolic,
11057,"Wir wollen auch das schmutzige Geschäft der Schlepper und der dubiosen Asyl-NGOs, die sich überall herumtummeln, unterbinden.",446,"Mag. Hannes Amesbauer, BA",2.572352941176471,0.3211849888172706,-0.0324695334113549,0.3001486895272197,-0.0268803619765033,-0.0175529411764705,-0.7,0.938839316368103,0.0,0.847,0.153,-0.4404,1,,hyperbolic,
11058,"Wir wissen, dass es nahezu täglich Neuankömmlinge in Italien, in Griechenland gibt, und wir wissen natürlich auch, dass wir nach wie vor die Bedrohung dieses unsäglichen EU-Türkei-Paktes haben, womit Herr Erdoan jederzeit die Möglichkeit hat, Europa zu erpressen, wenn er seine Milliarden nicht bekommt, die Schleusen aufzumachen und Hunderttausende in die EU hereinzulassen.",450,"Mag. Hannes Amesbauer, BA",1.899566037735849,0.3554021574065227,-0.1395083489486165,0.2581991125179476,-0.0326376815694611,-0.0034603773584905,-0.15,0.9334447979927064,0.134,0.725,0.14,-0.1027,1,,non hyperbolic,
11059,"Meine Damen und Herren, dafür stehen wir als Freiheitliche Partei mit Sicherheit nicht zur Verfügung!Nichtsdestotrotz freue ich mich natürlich auf eine angeregte Diskussion im Innenausschuss, damit auch klargemacht werden kann, was wirklich das Ansinnen dieses Volksbegehrens ist.",453,"Mag. Hannes Amesbauer, BA",1.852405405405405,0.312108469511787,-0.0947556318590581,0.265126716911486,-0.103356748752487,0.0059405405405405,0.7999999999999999,0.8967357873916626,0.087,0.846,0.067,0.2062,1,non hyperbolic,non hyperbolic,
11060,"Ich kann das nur begrüßen und mich bei all den Menschen bedanken, die jede Gelegenheit suchen und wahrnehmen, um da die Veränderungen voranzutreiben, die es braucht  und das sind systemische Veränderungen.",462,Mag. Faika El-Nagashi,1.71571875,0.4153199554108641,-0.0056177419776946,0.2478330639926015,-0.0869701460657995,0.0,0.7,0.8976502418518066,0.071,0.929,0.0,0.3182,1,,non hyperbolic,
11061,"Ja, Demokratie kostet, Kontrolle kostet, das ist mir jeden Tag im Untersuchungsausschuss schmerzhaft bewusst  aber wissen Sie, wann, liebe ÖVP?",497,Dr. Stephanie Krisper,2.187238095238096,0.3495646012988458,0.0711125037363001,0.265538113172754,-0.0131563638898959,0.0053857142857142,0.0,0.9334940314292908,0.232,0.646,0.122,0.4404,1,,non hyperbolic,
11062,Wir müssen uns vor Augen führen: Allein der afrikanische Kontinent ist einer exorbitanten Bevölkerungsexplosion ausgesetzt.,529,Mag. Ernst Gödl,2.1786666666666665,0.3212340121290895,-0.164238533126668,0.2789646900739671,-0.0268803619765033,0.0002666666666666,-0.7,0.9373862743377686,0.214,0.642,0.144,0.0772,1,,hyperbolic,
11063,"Die Botschaft lautet: Du musst zurückkehren.Wir müssen im Bereich der Rückkehrmöglichkeiten, der Vereinbarungen mit den Herkunftsstaaten auf europäischer Ebene einen entscheidenden Schritt weiterkommen.",537,Mag. Ernst Gödl,2.407565217391305,0.3355853314588031,-0.0296719724912759,0.2392717392649272,-0.0161895322507721,0.0001739130434782,0.0,0.8796419501304626,0.098,0.902,0.0,0.34,1,,non hyperbolic,
11064,Es braucht einfach einen entschiedenen Kampf gegen die illegale Migration und vor allem auch gegen das sehr profitable Schlepperunwesen.,539,Mag. Ernst Gödl,3.270631578947368,0.3585558611344585,-0.0548341832513591,0.2886017008779462,0.0353065673675231,-0.0180999999999999,0.7,0.9300262331962584,0.199,0.586,0.215,-0.1045,1,,non hyperbolic,
11065,Leider hat Österreich im Zuge der Klage hinsichtlich Hinkley Point beim Europäischen Gerichtshof eine Abfuhr erlitten.,563,Dipl.-Ing. Nikolaus Berlakovich,2.5034375,0.2531985553792293,-0.0822299340131111,0.260914409108585,-0.0028092511413247,-0.02228125,-1.0,0.929088056087494,0.0,0.531,0.469,-0.8625,1,non hyperbolic,non hyperbolic,
11066,"Wir müssen die Menschen hereinholen, wir müssen privates Kapital lukrieren, das die Leute in die erneuerbaren Energieträger investieren, und nicht eine Monopolstellung eines Bundeslandes machen.",585,Dipl.-Ing. Nikolaus Berlakovich,1.9306,0.3355646162153464,-0.0403678161018416,0.2683042502883052,-0.0096675994300653,0.0,0.0,0.9092567563056946,0.087,0.913,0.0,0.3182,1,,non hyperbolic,
11067,Danke schön.,587,Dipl.-Ing. Nikolaus Berlakovich,2.3135,0.0,0.0,0.0,0.0,0.0955,1.0,0.9243486523628236,1.0,0.0,0.0,0.7351,1,,non hyperbolic,
11068,Danke schön.,632,Dipl.-Ing. Gerhard Deimek,2.3135,0.0,0.0,0.0,0.0,0.0955,1.0,0.9243486523628236,1.0,0.0,0.0,0.7351,1,,non hyperbolic,
11069,"Es ist spielend leicht, so eine Atomanlage zu einer Dirty Bomb zu verwandeln, und genau dem sollten wir einen Riegel vorschieben.Geforscht wurde in erster Linie im Bereich der Reaktoren, Milliarden wurden dafür verwendet, Tonnen von Atommüll produziert.",643,Ing. Martin Litschauer,1.942837837837838,0.3228506839089669,-0.2180178701842904,0.2272998550736484,-0.0898982768252378,0.0,0.0,0.8792506456375122,0.169,0.831,0.0,0.7096,1,hyperbolic,hyperbolic,
11070,"Zur Debatte steht ein Misstrauensantrag, meine Damen und Herren, und ich muss sagen, dieses Schauspiel, das wir hier erleben, wirkt durchaus etwas grotesk auf mich.",658,Mag. Friedrich Ofenauer,1.62868,0.3633536829809198,0.0169209599768541,0.2229141849066734,-0.0244678314256972,0.0,-1.0,0.928848147392273,0.0,0.833,0.167,-0.5584,1,non hyperbolic,non hyperbolic,
11071,"Es werden künstlich Probleme geschaffen und hochgezogen, und dann beschwert man sich, dass es Probleme gibt.",660,Mag. Friedrich Ofenauer,1.531875,0.4509963031640558,0.0174385866366605,0.3304841344677437,0.0550151566796319,-0.05089375,0.0,0.8641384243965149,0.0,0.66,0.34,-0.6908,1,hyperbolic,hyperbolic,
11072,"Das ist schlechter Stil, meine Damen und Herren, und das bringt uns auf jeden Fall nicht weiter.",664,Mag. Friedrich Ofenauer,1.1802941176470587,0.3987515414013468,0.1254373566584592,0.2323764906426741,-0.005747260497612,-0.0453294117647058,-1.0,0.9301040768623352,0.126,0.728,0.146,-0.1027,1,non hyperbolic,non hyperbolic,
11073,"Lassen Sie mich zum Abschluss aber auch noch Folgendes sagen, da es immer um die Menschen geht: Mein Dank gilt auch den Soldatinnen und Soldaten, die jetzt im Einsatz stehen und die tagtäglich für die Sicherheit unserer Republik Österreich sorgen  gerade jetzt.",679,Mag. Friedrich Ofenauer,2.5430697674418603,0.4101172622847548,-0.1175551908686291,0.2691178093759347,-0.0880065253811825,-0.0083209302325581,0.7,0.8801578283309937,0.073,0.885,0.042,0.34,1,non hyperbolic,non hyperbolic,
11074,Frau Bundesministerin!,716,Douglas Hoyos-Trauttmansdorff,3.764,0.0,0.0,0.0,0.0,0.0,0.0,0.8778403401374817,0.0,1.0,0.0,0.0,1,,non hyperbolic,
11075,"Die sollen nicht diejenigen sein, die das Gefühl haben, ihre Arbeit war schlecht und deswegen haben Dinge nicht gut funktioniert.",724,Douglas Hoyos-Trauttmansdorff,2.01685,0.474808755811539,0.2217096186647643,0.3158420538653276,0.0138495552118178,0.0,-0.75,0.909541130065918,0.0,0.691,0.309,-0.7643,1,non hyperbolic,non hyperbolic,
11076,Danke schön.,731,Douglas Hoyos-Trauttmansdorff,2.3135,0.0,0.0,0.0,0.0,0.0955,1.0,0.9243486523628236,1.0,0.0,0.0,0.7351,1,,non hyperbolic,
11077,"Lieber Herr Kollege Bösch, Sie haben vorhin hier von Scheinheiligkeit und Schönreden gesprochen.",741,Andreas Kühberger,2.79823076923077,0.2399256793407816,-0.1055842530344944,0.2948137167928252,0.0262719296327447,0.0087,0.0,0.9307972192764282,0.2,0.8,0.0,0.4588,1,,non hyperbolic,
11078,"einen Misstrauensantrag gegen eine Bundesministerin  in Wahrheit ist es Ihnen wahrscheinlich auch schon peinlich , die die größte Investition der letzten 20 Jahre in unserem Land auf den Weg gebracht hat.",745,Andreas Kühberger,2.86565625,0.4218178713543949,-0.0531023328457817,0.2499458028954093,0.0172846677258778,0.01154375,-0.7,0.929163098335266,0.208,0.649,0.143,0.3612,1,non hyperbolic,non hyperbolic,
11079,Für Menschen wie Klaus wäre die Abschaffung der Notstandshilfe eine persönliche Katastrophe.,773,Petra Wimmer,2.64525,0.3043686719796425,-0.1853893337897582,0.2584535960585759,-0.1083830696605084,0.0,0.0,0.9354015588760376,0.0,0.625,0.375,-0.7184,1,non hyperbolic,non hyperbolic,
11080,"Die Mehrfachbelastungen, das haben wir schon ganz oft gehört, lasten auf den Schultern der Frauen: Homeoffice, Homeschooling, Sorge um Angehörige, die vielleicht erkranken, die Risikogruppen sind, und auch die Angst vor dem Jobverlust ist enorm.",777,Petra Wimmer,2.7037714285714287,0.3884839172341497,-0.2600477687515898,0.3047355891443482,-0.0268803619765033,0.0062457142857142,-1.0,0.916015088558197,0.0,0.81,0.19,-0.7579,1,non hyperbolic,non hyperbolic,
11081,Danke sehr.,782,Petra Wimmer,2.3135,0.0,0.0,0.0,0.0,0.0955,0.0,0.9114763140678406,0.744,0.256,0.0,0.4404,1,non hyperbolic,non hyperbolic,
11082,"Vielmehr wird es sich bei diesen Bedrohungen mit größter Wahrscheinlichkeit um mehrdimensionale Kampagnen handeln, wie zum Beispiel Angriffe auf kritische Infrastruktur durch Spezialeinsatzkräfte plus dem Einsatz von Drohnen auf kritische Infrastruktur mit gezielten Cyberattacken.",792,Alois Kainz,2.2935882352941177,0.3498807971734714,-0.0354775556572528,0.242429676018386,0.0286564081107273,0.0097117647058823,0.0,0.5391354560852051,0.096,0.673,0.231,-0.6808,1,non hyperbolic,non hyperbolic,
11083,Das ist eine schreiende Ungerechtigkeit.,812,Ing. Mag. Volker Reifenberger,2.88,0.2809019557335855,-0.0267241452376761,0.2690696188266558,0.0841244121362145,0.0,0.0,0.941091239452362,0.0,0.625,0.375,-0.34,1,,hyperbolic,
11084,"Wenn so ein kleiner Einsatz  nur 13 Kompanien und so ein Low-Level-Einsatz, ein Covid-Einsatz  bereits eine Herausforderung für das Ministerium darstellt, dann möchte ich mir nicht ausmalen, wie Sie überfordert gewesen wären, wenn Sie den Einsatz nicht so langfristig hätten planen können und wenn es sich um einen etwas robusteren Einsatz gehandelt hätte.Frau Bundesminister, Sie wissen ganz genau, dass wir zwar laut unserer Verfassung ein Milizsystem haben, dass wir diese Verfassungsbestimmung aber derzeit nicht umgesetzt haben.",816,Ing. Mag. Volker Reifenberger,1.9448589743589748,0.4366631217652168,-0.1180468867716671,0.2876322276554626,-0.0244678314256972,0.0021833333333333,0.0,0.9160610437393188,0.137,0.843,0.02,0.8284,1,hyperbolic,hyperbolic,
11085,Alle anderen Maßnahmen zur Stärkung der Miliz sind ohne verpflichtende Milizübungen lediglich scheinheilige Lippenbekenntnisse und untaugliche Alibiaktionen.,818,Ing. Mag. Volker Reifenberger,1.3488823529411764,0.2777672236092458,-0.1055681810755796,0.3403146557880688,0.0891309596409842,-0.0349647058823529,-1.0,0.9312971830368042,0.0,0.856,0.144,-0.4019,1,,hyperbolic,
11086,"Wenn man euch jetzt so zugehört hat, dann hat man das Gefühl, ihr glaubt wirklich, die Menschen hier herinnen oder draußen haben ein Kurzzeitgedächtnis, die wissen nicht mehr, was ihr in den letzten Jahren in puncto Landesverteidigung in Wirklichkeit angestellt habt.",825,Johann Höfinger,1.835878048780488,0.4361885737277682,-0.0680705591767743,0.2802905493890445,-0.0020853631178784,0.0,0.5,0.912242591381073,0.072,0.928,0.0,0.4767,1,,hyperbolic,
11087,"Das waren die berühmten Einsparungen, die berühmten Strategien für das Bundesheer von eurer Seite.",829,Johann Höfinger,2.221357142857144,0.3109046025681511,0.0055792311120604,0.2935953694996754,0.0728521255973017,0.0466714285714285,1.0,0.938970148563385,0.415,0.585,0.0,0.7783,1,,non hyperbolic,
11088,Frau Bundesministerin!,843,Dr. Harald Troch,3.764,0.0,0.0,0.0,0.0,0.0,0.0,0.8778403401374817,0.0,1.0,0.0,0.0,1,,non hyperbolic,
11089,Das kann doch kein professioneller Einsatz sein!,852,Dr. Harald Troch,1.794857142857143,0.4051852284088379,0.073431944505109,0.256497846698125,0.0518102562590122,0.0667142857142857,0.0,0.9328579902648926,0.381,0.619,0.0,0.5707,1,,non hyperbolic,
