label,english,german_hand_translated,german_google_translate
0,Don't distract me while I'm driving!,Lenk mich nicht ab während ich fahre!,"Lenu mich nicht ab, während ich fahre!"
0,Stop laying a guilt trip on me .,Hör auf mir Schuldgefühle zu verpassen,"Hör auf, eine Schuldreise auf mich zu legen."
0,Let's drink to the bride and groom.,Lasst uns auf das Brautpaar anstoßen,Lassen Sie uns in Braut und Bräutigam trinken.
0,Who's going to carve the turkey?,Wer wird den Truthahn tranchieren?,Wer wird den Truthahn schnitzen?
0,That's a load of baloney.,Das ist völliger Quatsch,Das ist eine Ladung Baloney.
0,I assume bail is moot?,"Ich gehe davon aus, dass die Kaution hinfällig ist?","Ich nehme an, Kaution ist streitend?"
0,He's not asleep - he's just pretending.,"Er schläft nicht, er tut nur so als ob","Er schläft nicht - er tut nur so, als würde er so tun."
0,You can't foist your ideas on me.,Ich lasse mir deine Ideen nicht aufzwingen,Sie können Ihre Ideen auf mich nicht aufschieben.
0,You have your sweater on inside out.,Du hast deinen Pullover verkehrt herum an,Sie haben Ihren Pullover auf innen nach außen.
0,Foxhunting is an abomination.,Die Fuchsjagd ist eine Abscheulichkeit,Foxhunting ist ein Gräuel.
0,There was Greek blood in his veins.,Er hatte griechisches Blut in seinen Adern,Da war griechisches Blut in seinen Adern.
0,Where else am I gonna go?,Wo sollte ich den sonst hingehen?,Wohin werde ich sonst gehen?
0,They've eaten a whole pot of jam!,Sie haben einen ganzen Topf Marmelade gegessen!,Sie haben einen ganzen Topf Marmelade gegessen!
0,Make a retro film with your images!,Mach einen Retrofilm mit deinen Bildern!,Machen Sie einen Retro -Film mit Ihren Bildern!
0,You will banish these ghastly thoughts.,Du wirst diese grässlichen Gedanken verbannen,Sie werden diese schrecklichen Gedanken verbannen.
0,Does your dog bite?,Beißt dein Hund?,Bittet dein Hund?
0,Don't fritter away your precious time.,Verdrödel deine kostbare Zeit nicht,Verrissen Sie Ihre kostbare Zeit nicht.
0,It was his back playing him up.,Sein Rücken hat ihm Probleme verursacht,"Es war sein Rücken, ihn aufzuspielen."
0,Is this another of your daft ideas?,Ist das wieder eine deiner doofen Ideen?,Ist dies ein weiterer Ihrer dummen Ideen?
0,Your cousins are akin to you.,Deine Cousins sind mit dir verwandt.,Ihre Cousins ​​sind Ihnen vergleichbar.
0,Don't be so heartless!,Sei nicht so herzlos!,Sei nicht so herzlos!
0,Pretty mouldy pay increase this year.,Die diesjährige Lohnerhöhung ist ziemlich schäbig,Ziemlich schimmelige Gehaltserhöhung in diesem Jahr.
0,Let's rediscover life in the slow lane.,Lasst uns das einfache Leben wiederentdecken,Lassen Sie uns das Leben in der langsamen Spur wieder entdecken.
0,He was faithful to me in weal and woe.,Er war mir treu in guten wie in schlechten Zeiten,Er war mir in Weal und Weh treu.
0,He won't dare to break his promise.,Er wird es nicht wagen sein Versprechen zu brechen,"Er wird es nicht wagen, sein Versprechen zu brechen."
0,She was a consummate performer.,Sie war eine unübertreffliche Darstellerin,Sie war eine vollendete Performerin.
0,He was hot for revenge.,Er war auf Rache aus,Er war heiß für Rache.
0,It felt like he was cracking a knuckle.,Es fühlte sich so an als würde er einen Knöchel knacken,"Es fühlte sich an, als würde er einen Knöchel knacken."
0,Let my kite fly high.,Lass meinen Drachen hochfliegen,Lass meinen Drachen hoch fliegen.
0,She's still hale and hearty at 74.,Sie ist mit 74 noch gesund und munter,Sie ist immer noch mit 74 Jahren hale und herzlich.
0,Did you have a flu jab this year?,Hattest du dieses Jahr eine Grippeimpfung?,Hattest du dieses Jahr eine Grippeimpfung?
0,That picture is askew.,Das Bild ist schief,Das Bild ist schief.
0,They gave him the boot for coming late.,Sie haben ihn gefeuert weil er zu spät kam,"Sie gaben ihm den Stiefel, weil er spät gekommen war."
0,She slathered her toast with butter.,Sie bestrich ihren Toast mit Butter,Sie schob ihren Toast mit Butter.
0,She was a prissy little girl.,Sie war ein kleines zimperliches Mädchen,Sie war ein Prissy -kleines Mädchen.
0,My uncle tipples brandy.,Mein Onkel trinkt Brandy,Mein Onkel Tipples Brandy.
0,The host bowed us in.,Der Gastgeber bat uns herein,Der Gastgeber verneigte uns ein.
0,Heavenly music swelled from nowhere.,Himmlische Musik ertrönte aus dem Nichts,Die himmlische Musik schwoll aus dem Nichts an.
0,He was sent to prison on a bum rap.,E wurde unfairerweise ins Gefängnis geschickt,Er wurde mit einem Penner Rap ins Gefängnis geschickt.
0,That's a comical hat you're wearing.,Das ist ein komischer Hut den du da trägst,"Das ist ein komischer Hut, den du trägst."
0,Just because I am not a misanthrope?,Nur weil ich kein Misanthrop bin?,Nur weil ich kein Misanthrop bin?
0,You're a dirty liar!,Du bist ein dreckiger Lügner!,Du bist ein schmutziger Lügner!
0,Who designed the new school?,Wer hat die neue Schule entworfen?,Wer hat die neue Schule entworfen?
0,I will cherish every good to me.,Ich werde alles Gute das mir passiert wertschätzen,Ich werde jedes Gut für mich schätzen.
0,I must be dashing off now.,Ich muss mich jetzt auf den Weg machen,Ich muss jetzt wegrutschen.
0,This man is a phoney.,Dieser Mann ist ein Schwindler,Dieser Mann ist ein Phoney.
0,Doesn't Kate look gorgeous?,Sieht Kate nicht umwerfend aus?,Sieht Kate nicht wunderschön aus?
0,He just scraped into college.,Er hat es gerade so ins College geschafft,Er kratzte gerade das College.
0,Shall I zip you up ?,Soll ich den Reißverschluss für dich schließen?,Soll ich dich aufrollen?
0,Are these real diamonds or paste?,Sind das echte Diamanten oder Kopien?,Sind diese echten Diamanten oder Paste?
0,Do I look absurd in this hat?,Schau ich mit diesem Hut absurd aus?,Sehe ich in diesem Hut absurd aus?
0,Gods determine what you're going to be.,Die Götter bestimmen was aus dir wird,"Götter bestimmen, was Sie sein werden."
0,I wrote this sappy love song.,Ich habe dieses kitschige Liebeslied geschrieben,Ich habe dieses saftige Liebeslied geschrieben.
0,He then descends to chop suey.,Er ging über zu Chop Suey,"Dann steigt er ab, um Suey zu hacken."
0,It was a jest rather than a reproach.,Es war eher ein Scherz als ein Vorwurf,Es war eher ein Scherz als ein Vorwurf.
0,He just couldn't shake it off.,Er konnte es einfach nicht loswerden,Er konnte es einfach nicht abschütteln.
0,I pine for the countryside.,Ich sehne mich nach der Natur,Ich kiefere für die Landschaft.
0,He had to bone up on his French.,Er musste an seinem Französisch arbeiten,Er musste auf seinem Französisch steigen.
0,I have a feeling he'll come.,"Ich habe das Gefühl, dass er kommen wird","Ich habe das Gefühl, dass er kommen wird."
0,He's my senior by three years.,Er ist drei Jahre älter als ich,Er ist drei Jahre lang mein Senior.
0,Bung your coat anywhere.,Schmeiß deinen Mantel irgendwo hin,Stecke deinen Mantel überall.
0,Lay off bullying Jack.,Hör auf Jack zu mobben,Legen Sie Mobbing Jack ab.
0,There's no pat answer to that.,Darauf gibt es keine einfache Antwort,Darauf gibt es keine Pat -Antwort.
0,She gave a chuckle of delight.,Sie kicherte vor Vergnügen,Sie kicherte Freude.
0,That man gave her a dose of opium.,Dieser Mann verabreichte ihr etwas Opium,Dieser Mann gab ihr eine Dosis Opium.
0,The party was a real booze - up.,Diese Party war ein wahres Besäufnis,Die Party war ein echter Alkohol - hoch.
0,How impudent u are to say such a thing.,Wie unverschämt von dir so etwas zu sagen,"Wie frech du bist, so etwas zu sagen."
0,I was just phoning up for a chat.,Ich habe nur angerufen um zu reden,Ich habe mich nur für einen Chat angerufen.
0,Does that old car still earn its keep?,Verdient dieses alte Auto noch immer seinen Unterhalt?,Verdient dieses alte Auto immer noch seinen Aufbewahrung?
0,I'm after a tie to go with this shirt.,Ich suche nach einer Krawatte die zu diesem Hemd passt,Ich bin nach einer Krawatte nach diesem Hemd.
0,I've got no will power.,Ich habe keine Willenskraft,Ich habe keine Willenskraft.
0,Thanks for washing my pj's honey.,"Danke Liebling, dass du meine Pyjamas gewaschen hast","Danke, dass du den Honig meines PJ gewaschen hast."
0,I want it with lettuce instead of peas.,Ich möchte gerne einen Salat anstelle von Erbsen,Ich möchte es mit Salat anstelle von Erbsen.
0,He had to prove himself all over again.,Er musste sich selbst erneut beweisen,Er musste sich noch einmal beweisen.
0,A big clap for our last contestant!,Einen großen Applaus für unseren letzten Teilnehmer!,Ein großer Klatschen für unseren letzten Kandidaten!
0,She tried to do away with herself.,Sie versuchte Selbstmord zu begehen,Sie versuchte mit sich selbst zu beseitigen.
0,She's one snappy dresser.,Sie kleidet sich ziemlich flott,Sie ist eine bissige Kommode.
0,My roommate just got a Mac.,Mein Mitbewohner hat sich einen Mac gekauft,Mein Mitbewohner hat gerade einen Mac.
0,Don't give me that jazz!,Lüg mich nicht an!,Gib mir diesen Jazz nicht!
0,She certainly lives life to the full.,Sie macht definitiv das Beste auf dem Leben,Sie lebt auf jeden Fall das Leben in vollen Zügen.
0,They trampled his flowers out of spite.,Sie haben seine Blumen aus Trotz zertrampelt,Sie trampelten seine Blumen aus Trotz.
0,A tale of a woman fighting back?,Eine Geschichte über eine Frau die sich zur Wehr setzt?,"Eine Geschichte einer Frau, die sich wehrt?"
0,Who's been fooling with the radio dial?,Wer hat den Radio verstellt?,Wer hat mit dem Radio -Zifferblatt täuscht?
0,You have to grub up the roots.,Du musst die Wurzeln ausgraben,Sie müssen die Wurzeln aufbauen.
0,He got the boot.,Er wurde entlassen,Er bekam den Stiefel.
0,They don't have a prayer of winning.,Sie haben keine Chance,Sie haben kein Gewinngebet.
0,It annoys me when you fidget!,Es nervt mich wenn du herumzappelst!,"Es nervt mich, wenn du zappst!"
0,My brother is a little terror.,Mein Bruder ist ein kleiner Quälgeist,Mein Bruder ist ein kleiner Terror.
0,I parted with him for his dishonesty.,Ich habe mich von ihm getrennt weil er unehrlich war,Ich trennte mich für seine Unehrlichkeit.
0,You need to barber that beard of yours.,Bei deinem Bart brauchst du einen Barbier,Sie müssen Ihren Bart von Ihnen brüllen.
0,Who's filched my pencils?,Wer hat meine Stifte gestohlen?,Wer hat meine Bleistifte gefilmt?
0,You wanna tap out?,Möchtest du aufgeben?,Willst du aussteigen?
0,I'll bet they have yummy ice cream.,"Ich wette, dass sie köstliches Eis haben","Ich wette, sie haben leckeres Eis."
0,Stop being such a snob.,Hör auf so ein Snob zu sein,"Hör auf, so ein Snob zu sein."
0,I think my watch is bust.,"Ich denke, dass meine Uhr kaputt ist","Ich denke, meine Uhr ist Büste."
0,"Keep flax from fire,youth from gaming.",Halte den Lein fern vom Feuer und die Jugend fern vom Spiel,"Halten Sie Flachs vom Feuer ab, Jugendliche vom Spielen."
0,"And, quite frankly, I just let rip.",Wenn ich ehrlich bin ließ ich den Dingen ihren Lauf,Und ehrlich gesagt lasse ich einfach RIP.
0,It's time we dug up those potatoes.,"Es wird Zeit, dass wir die Kartoffeln ausgraben","Es ist Zeit, dass wir diese Kartoffeln ausgegraben haben."
0,The frost has blighted my crops.,Der Frost hat meine Ernte verdorben,Der Frost hat meine Ernte geschmückt.
0,He had to wriggle his way out.,Er musste sich aus der Affäre ziehen,Er musste sich seinen Weg draußen wanden.
0,I ought make hay while the sun shines.,Ich muss die Gunst der Stunde nutzen,"Ich sollte Heu machen, während die Sonne scheint."
0,Won't you have a piece of fudge?,Wirst du dir kein Karamellbonbon nehmen?,Willst du kein Stück Fudge haben?
0,He will wed that waitress next month.,Er wird diese Kellnerin nächstes Monat heiraten,Er wird diese Kellnerin nächsten Monat heiraten.
0,What are you moaning about now?,Worüber regst du dich jetzt auf?,Worüber stöhnst du jetzt?
0,You push and I'll pull.,Du drückst und ich ziehe,Du drückst und ich werde ziehen.
0,Here's his page in the yearbook!,Hier ist seine Seite in dem Jahrbuch,Hier ist seine Seite im Jahrbuch!
0,I can't find my baggage.,Ich kann mein Gepäck nicht finden,Ich kann mein Gepäck nicht finden.
0,Life's too short to sit around moping.,Das Leben ist zu kurz um trübselig rumzusitzen,"Das Leben ist zu kurz, um herumzusitzen."
0,He fell into a swoon yesterday.,Er ist gestern in Ohnmacht gefallen,Er fiel gestern in eine Ohnmacht.
0,He is chary of speech.,Er geht vorsichtig mit der Sprache um,Er ist chary der Sprache.
0,My own stupidity lost me the match.,"Meine eigene Dummheit führte dazu, dass ich das Match verloren habe",Meine eigene Dummheit hat mich das Match verloren.
0,Georgy Porgy was a naughty boy.,Georgy Porgy war ein unartiger Bub,Georgy Porgy war ein ungezogener Junge.
0,Have you heard the glad tidings?,Hast du die frohe Botschaft gehört?,Hast du die frohen Botschaft gehört?
0,Give me a boost over the fence.,Hilf mir über den Zaun zu klettern,Gib mir einen Schub über den Zaun.
0,Cross me and you'll regret it.,Stell dich mir in den Weg und du wirst es bereuen,Überquere mich und du wirst es bereuen.
0,He finagled me out of my property.,Er hat mich um mein Eigentum betrogen,Er hat mich aus meinem Eigentum geflossen.
0,All steamed up over the real thing.,Alle haben sich über das Original aufgeregt,Alles in der Realität gedämpft.
0,Why can't they leave my pussy alone?,Warum können sie mein Kätzen nicht einfach in Ruhe lassen?,Warum können sie meine Muschi nicht alleine lassen?
0,We decided to give it a whirl.,Wir entschieden uns es auszuprobieren,"Wir haben uns entschlossen, es zu wirbeln."
0,She would be crushed between them.,Sie würde zwischen ihnen zerquetscht werden,Sie würde zwischen ihnen niedergeschlagen werden.
0,I've got a job in the bag.,Ich habe einen Job in der Tasche,Ich habe einen Job in der Tasche.
0,It was a moment of madness.,Es war der Wahnsinn,Es war ein Moment des Wahnsinns.
0,Don't use your credit card willy-nilly.,Verwende deine Kreditkarte nicht willkürlich,Verwenden Sie Ihre Kreditkarte nicht Willy Nill.
0,Those children are thoroughly spoilt!,Diese Kinder sind völlig verwöhnt,Diese Kinder sind gründlich verwöhnt!
0,Her heart gave an unsteady lurch.,Ihr Herz schlug unregelmäßig,Ihr Herz gab einen unsicheren Stich.
0,The football game is yours.,Das Fußballspiel gehört dir,Das Fußballspiel gehört dir.
0,Is this a safety razor blade?,Ist das eine Sicherheitsrasierklinge?,Ist das eine Sicherheitsrasierklinge?
0,These are unquestionable facts.,Das sind unbestreitbare Fakten,Dies sind unbestreitbare Tatsachen.
0,I gotta get outta here!,Ich muss hier raus!,Ich muss hier rauskommen!
0,All their advice was swept aside.,All ihre Ratschläge wurden ignoriert,Alle ihre Ratschläge wurden beiseite gefegt.
0,He's pranged his new bike.,Er hat sein neues Fahrrad geschrottet,Er hat sein neues Fahrrad abgebaut.
0,I always cry when I'm chopping onions.,Ich weine jedes Mal wenn ich Zwiebeln schneide,"Ich weine immer, wenn ich Zwiebeln hacke."
0,Can't you give me a straight yes or no?,Kannst du nicht einfach Ja oder Nein sagen?,Kannst du mir nicht ein klares Ja oder nein geben?
0,Bugger it! I've burnt the toast.,Zum Teufel damit! Ich habe den Toast verbrannt,Mangel es! Ich habe den Toast verbrannt.
0,I'll enclose his letter with mine.,Ich werde seinen Brief mit meinem umhüllen,Ich werde seinen Brief mit meinem beischließen.
0,Sweeney Todd: How about a shave?,Wie wärs mit einer Rasur?,Sweeney Todd: Wie wäre es mit einer Rasur?
0,The Pasha's overseer struck my father.,Der Aufseher des Paschas schlug meinen Vater,Der Aufseher des Paschas traf meinen Vater.
0,He was selfish and uncaring.,Er war eigensinnig und kaltschnäuzig,Er war egoistisch und lieblos.
0,My car only has a puny little engine.,Mein Auto hat nur einen kleinen mickrigen Motor,Mein Auto hat nur einen mickrigen kleinen Motor.
0,I'm going to play you a Bach fugue.,Ich spiele eine Fuge von Bach für dich,Ich werde dir eine Bach -Fuge spielen.
0,Her face crinkled up in disgust.,Ihr Gesicht runzelte sich vor Empörung,Ihr Gesicht riss angewidert.
0,I've blown a fuse.,Ich wurde ziemlich wütend,Ich habe eine Sicherung geblasen.
0,What the heck is that?,Was zur Hölle ist das?,Was zur Hölle ist das?
0,Her new dress fits her like a glove.,Ihr neues Kleid passt ihr wie angegossen,Ihr neues Kleid passt zu ihr wie ein Handschuh.
0,They gave us a hearty wel-come.,Sie bereiteten uns einen herzlichen Empfang,Sie gaben uns ein herzhaftes Welken.
0,He spewed up all over my jacket.,Er hat sich auf meine ganze Jacke übergeben,Er spuckte über meine Jacke.
0,Whatever made him buy that jacket?,Was hat ihn dazu gebracht diese Jacke zu kaufen?,"Was hat ihn dazu gebracht, diese Jacke zu kaufen?"
0,The lamb was a puny little thing.,Das Lamm war klein und kümmerlich,Das Lamm war eine mickrige kleine Sache.
0,Prejudice is the child of ignorance,Vorurteile sind die Kinder der Ignoranz,Vorurteile sind das Kind der Unwissenheit
0,It'll do the trick.,Es wird funktionieren,Es wird den Trick machen.
0,Don't let your dreams just be dreams.,Lass deine Träumen nicht nur Träume sein,Lass deine Träume nicht nur Träume sein.
0,Saturday night at the dance hall.,Samstag Abend bei der Tanzhalle,Samstagabend in der Tanzhalle.
0,Don't sweat Vanessa; she's an adult.,"Mach dir keine Sorgen um Vanessa, sie ist eine Erwachsene",Schwitzen Sie nicht Vanessa; Sie ist eine Erwachsene.
0,Drinks were the overture to dinner.,Die Getränke waren die Einleitung für das Abendessen,Getränke waren die Ouvertüre zum Abendessen.
0,Mustn't blot my copybook by being late.,Ich darf meinen Ruf nicht beschmutzen in dem ich zu spät komme,Ich darf mein Exemplar nicht verspätet haben.
0,Fate has willed it otherwise.,Das Schicksal wollte es anders,Das Schicksal hat es sonst gewollt.
0,I've been with my girl for nine years.,Ich bin mit meinem Mädchen seit neun Jahren zusammen,Ich bin seit neun Jahren bei meinem Mädchen.
0,Phoebe needs a new kitchen maid.,Phoebe braucht ein neues Dienstmädchen,Phoebe braucht eine neue Küchenmädchen.
0,She decamped with a lover.,Sie machte sich mit einem Liebhaber aus dem Staub,Sie entkämpfte mit einem Liebhaber.
0,He fell over himself for fame.,Er hat sich seinem Ruhm hingegeben,Er fiel wegen Ruhmes über sich.
0,John is a true sister under the skin.,John ist ein Feminist,John ist eine wahre Schwester unter der Haut.
0,How I spend my money is my affair.,Wie ich mein Geld ausgebe ist meine Angelegenheit,"Wie ich mein Geld ausgehe, ist meine Angelegenheit."
0,That lamp's shining in my eyes.,Diese Lampe blendet mich,Diese Lampe scheint in meinen Augen.
0,Her accent betrays her a Londoner.,Ihr Akzent lässt sie wie eine Londonerin wirken,Ihr Akzent verrät ihr einen Londoner.
0,Don't shoot I surrender.,"Schieß nicht, ich ergebe mich","Schieß nicht, ich erging mir."
0,You can scratch my name off the list.,Du kannst meinen Namen von der Liste streichen,Sie können meinen Namen von der Liste kratzen.
0,Have you no shame?,Schämst du dich gar nicht?,Hast du keine Schande?
0,"Bright, dolorous, sonsy and memorable.","Heiter, trauernd, glücklich und unvergesslich","Hell, dolorös, einy und unvergesslich."
0,She has the makings of a good lawyer.,Sie hat das Zeug zu einem guten Anwalt,Sie hat das Zeugnis eines guten Anwalts.
0,That frock shows your petticoat.,Dieses Kleid lässt deinen Unterrock hervortreten,Dieses Kleid zeigt Ihren Petticoat.
0,Hel - lo! Hel - lo! Where are you from?,"Hallo, woher kommst du?",Hallo! Hallo! Woher kommst du?
0,He's a plastic surgeon,Er ist ein Facharzt für plastische Chirurgie,Er ist ein plastischer Chirurg
0,It all makes $377 seem a bargain.,Das alles lässt 377 Dollar wie ein Schnäppchen wirken,Alles lässt 377 US -Dollar ein Schnäppchen erscheinen.
0,It has been a phoney war.,Es war ein künstlicher Krieg,Es war ein falscher Krieg.
0,Bet you wish you'd arrived earlier.,"Ich wette du wünscht dir, dass du früher angekommen wärst","Ich wünschte, Sie hätten früher angekommen."
0,He wants to put a bug in her ear.,Er will ihr einen Hinweis geben,Er will einen Käfer in ihr Ohr legen.
0,Who the heck are you?,Wer zur Hölle bist du?,Wer zum Teufel bist du?
0,She doled him out a plateful of stew.,Sparsam teilte sie ihm einen Teller voller Eintopf aus,Sie dolierte ihn einen Teller Eintopf.
0,Opportunity makes the thief.,Gelegenheit macht den Dieb,Gelegenheit macht den Dieb.
0,Don't tread your ash into my carpet!,Tritt deine Asche nicht in meinen Teppich! ,Treten Sie Ihre Asche nicht in meinen Teppich!
0,Stand by for our Christmas competition.,Bleib da für unseren Weihnachtswettbewerb,Stellen Sie sich für unseren Weihnachtswettbewerb bereit.
0,Wake up the sleeping giant in you,Erwecke den schlafenden Giganten in dir,Wach den schlafenden Riesen in dir auf
1,I'm not going to take this crap any more.,Ich werde mir diesen Mist nicht mehr antun,Ich werde diesen Mist nicht mehr aufnehmen.
1,The new movie is a killer.,Dieser neue Film ist ein Killer,Der neue Film ist ein Killer.
1,Her nerves were stretched to breaking point.,Ihre Nerven wurden bis zum Zusammenbruch strapaziert,Ihre Nerven wurden bis zum Bruchpunkt gestreckt.
1,Being totally alone is my idea of hell on earth.,Vollkommen alleine zu sein ist meine Vorstellung von der Hölle auf Erden,Ganz allein zu sein ist meine Vorstellung von der Hölle auf Erden.
1,I nearly died of shame!,Ich bin fast vor Scham gestorben!,Ich bin fast vor Scham gestorben!
1,My patience is almost worn away by their endless quarrel.,Meine Geduld mit ihrem endlosen Streit ist beinahe aufgebraucht,Meine Geduld wird fast durch ihren endlosen Streit abgenutzt.
1,The island is truly a heaven on earth.,Die Insel ist wahrlich der Himmel auf Erden,Die Insel ist wirklich ein Himmel auf Erden.
1,Your son's a little demon.,Dein Sohn ist ein kleiner Dämon,Dein Sohn ist ein kleiner Dämon.
1,He has an endless supply of corny jokes.,Er hat einen unendlichen Vorrat an blöden Witzen,Er hat einen endlosen Vorrat an kitschigen Witzen.
1,His last film was hysterical.,Sein letzter Film war hysterisch,Sein letzter Film war hysterisch.
1,Only an idiot would do that.,Nur ein Idiot würde sowas machen,Nur ein Idiot würde das tun.
1,I couldn't understand a single word she said!,Ich konnte kein einziges Wort verstehen das sie gesagt hat!,"Ich konnte kein einziges Wort verstehen, das sie sagte!"
1,Something seemed to tighten and die inside her.,Etwas schien sich zu verengen und innerlich zu sterben,Etwas schien sich zu straffen und in ihr zu sterben.
1,He carried on his life in the full glare of publicity.,Er führte sein Leben im öffentlichen Rampenlicht fort,Er führte sein Leben im vollen Blick der Werbung.
1,Youth means limitless possibilities.,Jugend bedeutet unendliche Möglichkeiten,Jugend bedeutet grenzenlose Möglichkeiten.
1,Nothing could have been more repugnant to him.,Es gibt nichts was für ihn noch abstoßender gewesen wäre,Nichts hätte ihm abstoßender sein können.
1,Many words cut [hurt] more than swords,Einige Wörter schmerzen mehr als Schwerte,Viele Wörter schneiden mehr als Schwerter als Schwerter
1,His fans agree that chef Julian 's food is beyond compare.,"Die Fans von Chefkoch Julian stimmen überein, dass sein Essen konkurrenzlos ist","Seine Fans sind sich einig, dass das Essen von Chef Julian nicht vergleichen ist."
1,Yet we must never underestimate sin's deadliness.,Trotzdem dürfen wir nie die Tödlichkeit der Sünde unterschätzen,Dennoch dürfen wir niemals die Tödlichkeit der Sünde unterschätzen.
1,He is probably up to his neck in debt.,Er steckt möglicherweise bis zum Hals in Schulden,Er ist wahrscheinlich schulden zu seinem Nacken.
1,He is plunging into an abyss of despair.,Er fällt in einen Abgrund voller Verzweiflung,Er stürzt in einen Abgrund der Verzweiflung.
1,But it takes a life time to forget sb.,Es braucht ein ganzes Leben um jemanden zu vergessen,"Aber es braucht eine Lebenszeit, um SB zu vergessen."
1,He's made an absolute shambles of his career.,Er hat seine Karriere in ein einziges Chaos verwandelt,Er hat absolute Trümmer seiner Karriere gemacht.
1,I was all of a sweat before the exam.,Ich war schweißgebaded vor der Prüfung,Ich war vor der Prüfung ein Schweiß.
1,Gosh! My muscles is going to ache all over tomorrow.,Verdammt! Meine Muskeln werden morgen überall wehtun,Meine Güte! Meine Muskeln werden morgen überall schmerzen.
1,From the sublime to the ridiculous is only one step,Es ist nur ein Schritt vom Großartigen zum Lächerlichen,Von der Erhabenen bis zum Lächerlichen ist nur ein Schritt
1,A walk in the fresh air will pep me up.,Ein Spaziergang in der frischen Luft wird mich aufpäppeln,Ein Spaziergang in der frischen Luft wird mich aufschlagen.
1,Beauty lies in the love's eyes.,Schönheit liegt im Auge des Betrachters,Schönheit liegt in den Augen der Liebe.
1,It drives me up the wall.,Es lässt mich die Wand hochgehen,Es treibt mich die Wand hoch.
1,"Standing there, on top of the world, my tiredness vanished.",Als ich ganz oben gestanden bin ist meine Müdigkeit verschwunden,"Als ich dort stand, ist meine Müdigkeit auf der Welt."
1,"If one day I can forget you, how I wish is now.","Sollte ich dich eines Tages vergessen können wünschte ich, dass dieser Tag der Heutige wäre","Wenn ich eines Tages dich vergessen kann, wie ich es mir wünsche, ist es jetzt."
1,So much for complete bloody control.,So viel zum Thema komplette verdammte Kontrolle,Soviel zur vollständigen blutigen Kontrolle.
1,The novel spun a miasma of death and decay.,Der Roman sorgte für einen Gestank von Tod und Verwesung,Der Roman drehte ein Miasma des Todes und des Verfalls.
1,Her illness was Nature's way of telling her to do less.,"Ihre Krankheit war die Art und Weise wie die Natur ihr mitteilen wollte, dass sie weniger tun soll","Ihre Krankheit war die Art der Natur, ihr zu sagen, sie solle weniger tun."
1,Her children's death is a fatal blow on her.,Der Tod ihres Kindes ist ein tödlicher Schlag für sie,Der Tod ihrer Kinder ist ein tödlicher Schlag für sie.
1,Get out! Or she'll zap you into a frog!,Hau ab! Sonst wird sie dich in eine Frosch verwandeln!,Geh raus! Oder sie wird dich in einen Frosch zappen!
1,Therefore the Venetian world makes him their scapegoat.,Deshalb macht ihn die venezianische Welt zu ihrem Sündenbock,Deshalb macht ihn die venezianische Welt zu ihrem Sündenbock.
1,You mean the world to me.,Du bist mein Ein und Alles,Du bedeutest die Welt für mich.
1,That's a lot/a load of bull!,Das ist großer Quatsch,Das ist viel/eine Ladung Bulle!
1,That political statesman is full of ambition.,Dieser politische Staatsmann ist voller Ambitionen,Dieser politische Staatsmann ist voller Ehrgeiz.
1,Peter let the bottle ruin his life.,Peter ließ sich sein Leben von der Flasche ruinieren,Peter ließ die Flasche sein Leben ruinieren.
